# %ECSV 1.0
# ---
# datatype:
# - {name: wav, unit: Angstrom, datatype: float64}
# - {name: flux_nu, unit: erg / (cm2 Hz s), datatype: float64}
# meta: {C/O: '1.00', Kzz: '1.0000E+05', Teff: '325.', Y: '0.28', '[Fe/H]': '0.00', f_hole: '1.00', f_rain: '0.00', grav: '178.'}
# schema: astropy-2.0
wav flux_nu
4000.0559999999996 nan
4050.0559999999996 7.097238229810158e-19
4100.056 2.834375951910048e-17
4150.056 1.8535968952500168e-16
4200.056 2.1169430218860116e-16
4250.056 1.3781824103200109e-15
4300.056 3.0962289786000133e-15
4350.056 5.753706470800023e-15
4400.056 9.785293719400029e-15
4450.056 1.576209326200004e-14
4500.056 2.5050950442000085e-14
4550.056 2.969283608099992e-14
4600.056 1.4473377493999973e-14
4650.056 1.1102503616799969e-14
4700.056 7.598650518999974e-15
4750.056 4.625674605999982e-15
4800.056 2.8930872722999874e-15
4850.056 1.5673713263999907e-15
4900.056 9.600641783599971e-16
4950.056 6.712171410499983e-16
5000.056 4.361435777799982e-16
5050.056 3.1529802131000094e-16
5100.056 3.508582126600027e-16
5150.056 4.150071264400004e-16
5200.056 4.839647859000012e-16
5250.056 5.500721040100007e-16
5300.056 6.268654717800012e-16
5350.056 7.17500811980001e-16
5400.056 8.053227774800015e-16
5450.056 9.181444506700044e-16
5500.056 1.052407479970002e-15
5550.056 1.198867616900001e-15
5600.056 1.3362234017000016e-15
5650.056 1.4486788069000004e-15
5700.056 1.4717907556000021e-15
5750.056 1.4856161665000006e-15
5800.056 1.3585647447999958e-15
5850.056 9.15988055599988e-16
5900.056 2.3929993786651767e-16
5950.056 1.7477339054600526e-15
6000.056 3.9270123459999974e-15
6050.056 7.316708041200066e-15
6100.056 1.2138251439300099e-14
6150.056 1.865382887500011e-14
6200.056 2.7254715448000136e-14
6250.056 3.7245277458000055e-14
6300.056 5.170018288000008e-14
6350.056 7.05212236400001e-14
6400.056 9.445754591800032e-14
6450.056 1.0779598113399872e-13
6500.056 1.3967351587700176e-13
6550.056 1.9198829643899562e-13
6600.056 2.655758896840059e-13
6650.056 3.808236976000032e-13
6700.056 5.116089697700029e-13
6750.056 7.080054917000036e-13
6800.056 8.366670386000039e-13
6850.056 8.557744291999996e-13
6900.056 6.657632831200022e-13
6950.056 4.585373688200055e-13
7000.056 5.39187924809986e-13
7050.056 5.519933575380008e-13
7100.056 6.32686662549993e-13
7150.056 4.557046877764614e-13
7200.056 3.0528603977586123e-13
7250.056 3.612569009927284e-13
7300.056 3.7979500689802124e-13
7350.056 5.425642020165962e-13
7400.056 7.313145459620224e-13
7450.056 1.0407366573300383e-12
7500.056 1.3227758928100037e-12
7550.056 1.5406790844000035e-12
7600.056 1.6397899289999988e-12
7650.056 8.640083307749805e-13
7700.056 8.464583943640194e-13
7750.056 1.966028470900019e-12
7800.056 2.4461262664200045e-12
7850.056 2.9746022331999633e-12
7900.056 3.4887253636599705e-12
7950.056 3.937698790799999e-12
8000.056 4.6442948421000186e-12
8050.056 5.246344751000058e-12
8100.056 3.4275548200378346e-12
8150.056 2.0787022116660784e-12
8200.056 4.604200578215772e-12
8250.056 4.774887752538516e-12
8300.056 5.175165421109133e-12
8350.056 5.7837726977432655e-12
8400.056 7.474146487960144e-12
8450.056 1.1550282072399968e-11
8500.056 1.454268147349995e-11
8550.056 1.8655362283000286e-11
8600.056 2.285795648700012e-11
8650.056 2.5677671144000114e-11
8700.056 2.5139610687000144e-11
8750.056 2.6058994167000088e-11
8800.056 2.4336888567999688e-11
8850.056 1.813937737659917e-11
8900.056 2.316771045441763e-12
8950.056 1.1633176080535724e-12
9000.056 1.135769607395477e-12
9050.056 5.876183562111126e-12
9100.056 7.2016310364241814e-12
9150.056 9.99177503330214e-12
9200.056 2.1314206796750864e-11
9250.056 1.556368380629683e-11
9300.056 1.3736507322029845e-13
9350.056 2.0046914895532298e-13
9400.056 2.144961749654796e-12
9450.056 1.4057816817167412e-12
9500.056 1.1072074087056e-12
9550.056 1.0589089638182658e-12
9600.056 1.5297649993623544e-12
9650.056 3.902781686951232e-12
9700.056 1.7084898895042853e-11
9750.056 1.230954373050267e-11
9800.056 1.5090960872935318e-11
9850.056 1.9091373226064655e-11
9900.056 2.945335870414243e-11
9950.056 3.092041555710239e-11
10000.056 2.9779151045140255e-11
10050.056 3.491999631299995e-11
10100.056 3.243642363999998e-11
10150.056 1.8850874516699874e-11
10200.056 6.762200591350602e-12
10250.056 9.555120745486991e-12
10300.056 1.9142608281268978e-11
10350.056 8.151668367768309e-12
10400.056 2.4476287312582753e-11
10450.056 4.1809718568293755e-11
10500.056 6.716426394380168e-11
10550.056 1.096741890760018e-10
10600.056 1.3773860296900297e-10
10650.056 1.4425222735900062e-10
10700.056 1.2308679455399885e-10
10750.056 1.221837173019981e-10
10800.056 1.1232183951480149e-10
10850.056 9.434844128070187e-11
10900.056 6.963286962249763e-11
10950.056 3.385960120319949e-11
11000.056 1.5737208468507492e-11
11050.056 6.158207619741812e-12
11100.056 1.9843022156878523e-12
11150.056 4.609968215252107e-13
11200.056 1.996886032225028e-13
11250.056 1.863178028698701e-13
11300.056 5.652498096274444e-13
11350.056 8.786071774514191e-14
11400.056 1.1356799197630121e-12
11450.056 4.631235641027489e-13
11500.056 4.711511866696256e-13
11550.056 7.855413267196513e-14
11600.056 1.8790691824378487e-14
11650.056 1.9734262298060708e-13
11700.056 3.017163564403938e-13
11750.056 7.475399918439884e-14
11800.056 5.296085341112679e-13
11850.056 5.781359799523165e-13
11900.056 5.893208355968571e-13
11950.056 9.801347972051608e-13
12000.056 1.5504287573357276e-12
12050.056 2.6522218651809797e-12
12100.056 3.179378334082824e-12
12150.056 4.7091737511547445e-12
12200.056 5.260873328762111e-12
12250.056 1.0931940901659997e-11
12300.056 2.315608912943186e-11
12350.056 3.0062927787420355e-11
12400.056 5.467958678319922e-11
12450.056 1.0032280135800235e-10
12500.056 1.2507536904100498e-10
12550.056 1.4586333060500176e-10
12600.056 2.3253685210301803e-10
12650.056 3.6611564096399674e-10
12700.056 4.0668607346500136e-10
12750.056 2.471180957020116e-10
12800.056 1.3206532637998862e-10
12850.056 5.7219927790097686e-11
12900.056 3.7003827320775576e-11
12950.056 2.7105385898733518e-11
13000.056 3.1786954619156276e-11
13050.056 1.7275874859394877e-11
13100.056 1.6153508798655725e-11
13150.056 7.259008358097854e-12
13200.056 9.475551506912655e-12
13250.056 9.341950698007595e-12
13300.056 3.0926332659823837e-12
13350.056 1.3501899805439956e-12
13400.056 4.066535154692959e-13
13450.056 6.186452081297695e-14
13500.056 1.1155913302184437e-14
13550.056 1.3363797787558755e-15
13600.056 1.2848754291301564e-16
13650.056 1.712315296455973e-15
13700.056 6.269624934483386e-16
13750.056 4.813317893595183e-15
13800.056 4.1750008380303966e-15
13850.056 1.1272035959420677e-15
13900.056 3.759840901267843e-15
13950.056 2.649792680752768e-15
14000.056 5.551259423699263e-15
14050.056 7.927979655946913e-15
14100.056 8.278103522777334e-15
14150.056 3.562319878128751e-14
14200.056 2.219519600687894e-14
14250.056 4.1270960655792586e-14
14300.056 1.805017243068444e-13
14350.056 1.3078403468500934e-13
14400.056 1.2623174412506863e-13
14450.056 3.320230753101565e-13
14500.056 8.638504214761504e-13
14550.056 1.1244275035251205e-12
14600.056 1.6351461418547967e-12
14650.056 4.754510793155135e-13
14700.056 1.7612348284904526e-13
14750.056 4.350227202395086e-14
14800.056 6.190635579172817e-14
14850.056 7.223536427606203e-14
14900.056 6.417118427671772e-14
14950.056 3.488450466963069e-14
15000.056 1.588927442094258e-13
15050.056 2.0572904809433445e-13
15100.056 6.204714216699308e-14
15150.056 1.6622793309105936e-14
15200.056 1.3729390172897125e-13
15250.056 3.2561540180026354e-13
15300.056 4.957173246149901e-13
15350.056 7.619777142175986e-13
15400.056 8.808154002452844e-13
15450.056 1.4392763346413095e-12
15500.056 2.0713744660427863e-12
15550.056 6.248156206606094e-12
15600.056 1.2778693623479724e-11
15650.056 2.9393830435486464e-11
15700.056 6.497768530020383e-11
15750.056 9.983458644360424e-11
15800.056 1.3620458144800216e-10
15850.056 1.908688104290239e-10
15900.056 2.2984191729099539e-10
15950.056 2.903313973399952e-10
16000.056 2.5870611172900747e-10
16050.056 1.6686913425498865e-10
16100.056 8.664101015279892e-11
16150.056 3.7127683604184997e-11
16200.056 1.3047431334180397e-11
16250.056 5.422824960376399e-12
16300.056 2.256919749319028e-12
16350.056 3.067069560514039e-12
16400.056 3.778475630679435e-12
16450.056 3.662971140174575e-12
16500.056 2.4660435963912286e-12
16550.056 2.430782045068146e-12
16600.056 8.248747018939977e-12
16650.056 4.480899569597286e-12
16700.056 5.061079455195652e-13
16750.056 2.2576360972276297e-12
16800.056 3.973717544678594e-12
16850.056 4.238157510431706e-12
16900.056 1.1967839300872102e-12
16950.056 6.600485011864524e-13
17000.056 2.394269569196265e-13
17050.056 5.805218838086621e-13
17100.056 1.6545901249225362e-12
17150.056 7.66639162858335e-13
17200.056 4.231072445654742e-12
17250.056 1.0343763469048402e-12
17300.056 6.986949896368945e-13
17350.056 1.0792489285379699e-12
17400.056 2.7591583252705357e-12
17450.056 3.672592436940718e-12
17500.056 6.143288796211347e-12
17550.056 5.176850679972898e-12
17600.056 4.330209984677295e-12
17650.056 2.5871626470262513e-12
17700.056 2.23677988070516e-12
17750.056 1.7972608930198603e-12
17800.056 5.729542104005592e-12
17850.056 1.829687144467375e-12
17900.056 1.1450215215625142e-12
17950.056 7.502812619398438e-13
18000.056 1.5530545176511708e-12
18050.056 7.295087943663278e-13
18100.056 8.806395236387777e-13
18150.056 4.3754607303867686e-13
18200.056 3.160835938819173e-13
18250.056 1.7090748030788755e-12
18300.056 1.2032233869699772e-13
18350.056 1.0258664095898985e-13
18400.056 4.4619511607572474e-14
18450.056 6.759730719414512e-13
18500.056 6.240135255898248e-13
18550.056 2.2380009957663054e-13
18600.056 5.030536048170476e-13
18650.056 3.3596700425426266e-13
18700.056 1.9710294309067555e-14
18750.056 5.0082922609311276e-14
18800.056 1.3461076021277065e-12
18850.056 1.1024263609446382e-12
18900.056 1.3158920648634424e-12
18950.056 1.837577085311349e-12
19000.056 2.1789160677670686e-13
19050.056 8.05449712519062e-14
19100.056 3.5232721135785233e-13
19150.056 1.2025708362272484e-13
19200.056 3.0319133335717814e-13
19250.056 2.024761464925627e-13
19300.056 1.0203828959749639e-13
19350.056 1.0462546220804302e-13
19400.056 7.425655378799477e-14
19450.056 1.148680729716667e-13
19500.056 7.603692558795607e-14
19550.056 2.3869726861663487e-13
19600.056 6.396378167631809e-13
19650.056 3.8652387653547125e-13
19700.056 6.423490184672487e-13
19750.056 1.0036317347576388e-12
19800.056 5.32875828583138e-13
19850.056 6.544061319540968e-13
19900.056 1.2117796228495807e-12
19950.056 1.7127368213966979e-12
20000.056 2.2012823371700113e-12
20050.056 1.4150334192503916e-12
20100.056 2.4018068002433672e-12
20150.056 1.4698735829196866e-12
20200.056 8.337595953085174e-13
20250.056 2.3012846806816697e-12
20300.056 3.018295912764692e-12
20350.056 3.294699410689731e-12
20400.056 2.7015278955346304e-12
20450.056 5.116973113095029e-12
20500.056 5.736750409838728e-12
20550.056 6.3643829933574954e-12
20600.056 6.8626820661998185e-12
20650.056 8.00451644136361e-12
20700.056 8.67294948215987e-12
20750.056 9.195229372339544e-12
20800.056 8.58274415969861e-12
20850.056 9.798157501900152e-12
20900.056 9.990993807199647e-12
20950.056 9.489235763000273e-12
21000.056 9.130875844900152e-12
21050.056 9.607816377499724e-12
21100.056 9.283362093100131e-12
21150.056 9.327078170699875e-12
21200.056 9.039742933700602e-12
21250.056 8.861065401999155e-12
21300.056 8.048874581460191e-12
21350.056 8.029296038427424e-12
21400.056 8.440315710768714e-12
21450.056 6.951155987127797e-12
21500.056 6.2497787496833766e-12
21550.056 6.26252894366403e-12
21600.056 5.45674184120544e-12
21650.056 4.063804079045991e-12
21700.056 3.4423858237646375e-12
21750.056 3.692334123995429e-12
21800.056 2.4754455396941105e-12
21850.056 2.381429999028205e-12
21900.056 1.7293120724458801e-12
21950.056 5.941078802657822e-13
22000.056 4.051063585677839e-14
22050.056 1.1408971929988594e-13
22100.056 5.107764416497811e-13
22150.056 2.8929843174602255e-13
22200.056 2.607512001319528e-13
22250.056 2.0365737030198425e-13
22300.056 6.903599973880174e-14
22350.056 1.211856126737969e-13
22400.056 3.1263662210681525e-14
22450.056 6.782865036430064e-14
22500.056 4.902122916297075e-14
22550.056 1.6228301719619817e-14
22600.056 1.1832155100359404e-14
22650.056 2.4106007627125563e-14
22700.056 2.5621442433837477e-14
22750.056 5.3834489422829195e-14
22800.056 6.701030664828765e-14
22850.056 4.117458762107059e-14
22900.056 2.4697055760744342e-14
22950.056 1.4227068048347623e-14
23000.056 2.1909052979238356e-14
23050.056 1.9156087903264904e-14
23100.056 3.450005407862555e-13
23150.056 3.5853457309243745e-13
23200.056 5.5054522102265095e-15
23250.056 5.042817778621206e-14
