Wavelength (um), R
2.524800000000052336e+00,1.183833272542108261e+03
2.524900000000052547e+00,1.183876533175262466e+03
2.525000000000052758e+00,1.183919791933616580e+03
2.525100000000052969e+00,1.183963048817121944e+03
2.525200000000053180e+00,1.184006303825729674e+03
2.525300000000053391e+00,1.184049556959392248e+03
2.525400000000053602e+00,1.184092808218061009e+03
2.525500000000053813e+00,1.184136057601687298e+03
2.525600000000054024e+00,1.184179305110223140e+03
2.525700000000054235e+00,1.184222550743619877e+03
2.525800000000054446e+00,1.184265794501829532e+03
2.525900000000054657e+00,1.184309036384803449e+03
2.526000000000054868e+00,1.184352276392493422e+03
2.526100000000055079e+00,1.184395514524851023e+03
2.526200000000055290e+00,1.184438750781828276e+03
2.526300000000055501e+00,1.184481985163376748e+03
2.526400000000055712e+00,1.184525217669447784e+03
2.526500000000055923e+00,1.184568448299993634e+03
2.526600000000056134e+00,1.184611677054965867e+03
2.526700000000056345e+00,1.184654903934315826e+03
2.526800000000056556e+00,1.184698128937995989e+03
2.526900000000056767e+00,1.184741352065957244e+03
2.527000000000056978e+00,1.184784573318151843e+03
2.527100000000057189e+00,1.184827792694531809e+03
2.527200000000057400e+00,1.184871010195048711e+03
2.527300000000057612e+00,1.184914225819653666e+03
2.527400000000057823e+00,1.184957439568299378e+03
2.527500000000058034e+00,1.185000651440937418e+03
2.527600000000058245e+00,1.185043861437519126e+03
2.527700000000058456e+00,1.185087069557996756e+03
2.527800000000058667e+00,1.185130275802322103e+03
2.527900000000058878e+00,1.185173480170446965e+03
2.528000000000059089e+00,1.185216682662322910e+03
2.528100000000059300e+00,1.185259883277902645e+03
2.528200000000059511e+00,1.185303082017136603e+03
2.528300000000059722e+00,1.185346278879977945e+03
2.528400000000059933e+00,1.185389473866378012e+03
2.528500000000060144e+00,1.185432666976288601e+03
2.528600000000060355e+00,1.185475858209661965e+03
2.528700000000060566e+00,1.185519047566449444e+03
2.528800000000060777e+00,1.185562235046603519e+03
2.528900000000060988e+00,1.185605420650075303e+03
2.529000000000061199e+00,1.185648604376817957e+03
2.529100000000061410e+00,1.185691786226782369e+03
2.529200000000061621e+00,1.185734966199920564e+03
2.529300000000061832e+00,1.185778144296185019e+03
2.529400000000062043e+00,1.185821320515527304e+03
2.529500000000062254e+00,1.185864494857899217e+03
2.529600000000062465e+00,1.185907667323253236e+03
2.529700000000062676e+00,1.185950837911541385e+03
2.529800000000062887e+00,1.185994006622714551e+03
2.529900000000063098e+00,1.186037173456726123e+03
2.530000000000063309e+00,1.186080338413527443e+03
2.530100000000063520e+00,1.186123501493070307e+03
2.530200000000063731e+00,1.186166662695307195e+03
2.530300000000063942e+00,1.186209822020189904e+03
2.530400000000064153e+00,1.186252979467670229e+03
2.530500000000064365e+00,1.186296135037700878e+03
2.530600000000064576e+00,1.186339288730233420e+03
2.530700000000064787e+00,1.186382440545219652e+03
2.530800000000064998e+00,1.186425590482612051e+03
2.530900000000065209e+00,1.186468738542362644e+03
2.531000000000065420e+00,1.186511884724423453e+03
2.531100000000065631e+00,1.186555029028746731e+03
2.531200000000065842e+00,1.186598171455284501e+03
2.531300000000066053e+00,1.186641312003988560e+03
2.531400000000066264e+00,1.186684450674811387e+03
2.531500000000066475e+00,1.186727587467705007e+03
2.531600000000066686e+00,1.186770722382621216e+03
2.531700000000066897e+00,1.186813855419512720e+03
2.531800000000067108e+00,1.186856986578331316e+03
2.531900000000067319e+00,1.186900115859029029e+03
2.532000000000067530e+00,1.186943243261558564e+03
2.532100000000067741e+00,1.186986368785871946e+03
2.532200000000067952e+00,1.187029492431920517e+03
2.532300000000068163e+00,1.187072614199657437e+03
2.532400000000068374e+00,1.187115734089034959e+03
2.532500000000068585e+00,1.187158852100003969e+03
2.532600000000068796e+00,1.187201968232518311e+03
2.532700000000069007e+00,1.187245082486529327e+03
2.532800000000069218e+00,1.187288194861989268e+03
2.532900000000069429e+00,1.187331305358850841e+03
2.533000000000069640e+00,1.187374413977065615e+03
2.533100000000069851e+00,1.187417520716585841e+03
2.533200000000070062e+00,1.187460625577364681e+03
2.533300000000070273e+00,1.187503728559353476e+03
2.533400000000070484e+00,1.187546829662504933e+03
2.533500000000070695e+00,1.187589928886771304e+03
2.533600000000070906e+00,1.187633026232104839e+03
2.533700000000071118e+00,1.187676121698458019e+03
2.533800000000071329e+00,1.187719215285782639e+03
2.533900000000071540e+00,1.187762306994031405e+03
2.534000000000071751e+00,1.187805396823156570e+03
2.534100000000071962e+00,1.187848484773110613e+03
2.534200000000072173e+00,1.187891570843845329e+03
2.534300000000072384e+00,1.187934655035313426e+03
2.534400000000072595e+00,1.187977737347467610e+03
2.534500000000072806e+00,1.188020817780259904e+03
2.534600000000073017e+00,1.188063896333642333e+03
2.534700000000073228e+00,1.188106973007567831e+03
2.534800000000073439e+00,1.188150047801988649e+03
2.534900000000073650e+00,1.188193120716857038e+03
2.535000000000073861e+00,1.188236191752125706e+03
2.535100000000074072e+00,1.188279260907746448e+03
2.535200000000074283e+00,1.188322328183672198e+03
2.535300000000074494e+00,1.188365393579855208e+03
2.535400000000074705e+00,1.188408457096248185e+03
2.535500000000074916e+00,1.188451518732803152e+03
2.535600000000075127e+00,1.188494578489472588e+03
2.535700000000075338e+00,1.188537636366209199e+03
2.535800000000075549e+00,1.188580692362965692e+03
2.535900000000075760e+00,1.188623746479693637e+03
2.536000000000075971e+00,1.188666798716346420e+03
2.536100000000076182e+00,1.188709849072876068e+03
2.536200000000076393e+00,1.188752897549235286e+03
2.536300000000076604e+00,1.188795944145376325e+03
2.536400000000076815e+00,1.188838988861252346e+03
2.536500000000077026e+00,1.188882031696814920e+03
2.536600000000077237e+00,1.188925072652017207e+03
2.536700000000077448e+00,1.188968111726811912e+03
2.536800000000077659e+00,1.189011148921150607e+03
2.536900000000077871e+00,1.189054184234986906e+03
2.537000000000078082e+00,1.189097217668273061e+03
2.537100000000078293e+00,1.189140249220961323e+03
2.537200000000078504e+00,1.189183278893004626e+03
2.537300000000078715e+00,1.189226306684355450e+03
2.537400000000078926e+00,1.189269332594966272e+03
2.537500000000079137e+00,1.189312356624790027e+03
2.537600000000079348e+00,1.189355378773778966e+03
2.537700000000079559e+00,1.189398399041885796e+03
2.537800000000079770e+00,1.189441417429062994e+03
2.537900000000079981e+00,1.189484433935263723e+03
2.538000000000080192e+00,1.189527448560440007e+03
2.538100000000080403e+00,1.189570461304545006e+03
2.538200000000080614e+00,1.189613472167531199e+03
2.538300000000080825e+00,1.189656481149350839e+03
2.538400000000081036e+00,1.189699488249957540e+03
2.538500000000081247e+00,1.189742493469303099e+03
2.538600000000081458e+00,1.189785496807340223e+03
2.538700000000081669e+00,1.189828498264022528e+03
2.538800000000081880e+00,1.189871497839301810e+03
2.538900000000082091e+00,1.189914495533130776e+03
2.539000000000082302e+00,1.189957491345463040e+03
2.539100000000082513e+00,1.190000485276250402e+03
2.539200000000082724e+00,1.190043477325445565e+03
2.539300000000082935e+00,1.190086467493002147e+03
2.539400000000083146e+00,1.190129455778872398e+03
2.539500000000083357e+00,1.190172442183009025e+03
2.539600000000083568e+00,1.190215426705364735e+03
2.539700000000083779e+00,1.190258409345892915e+03
2.539800000000083990e+00,1.190301390104545362e+03
2.539900000000084201e+00,1.190344368981275693e+03
2.540000000000084412e+00,1.190387345976036386e+03
2.540100000000084624e+00,1.190430321088779920e+03
2.540200000000084835e+00,1.190473294319459910e+03
2.540300000000085046e+00,1.190516265668028609e+03
2.540400000000085257e+00,1.190559235134438950e+03
2.540500000000085468e+00,1.190602202718643866e+03
2.540600000000085679e+00,1.190645168420596292e+03
2.540700000000085890e+00,1.190688132240248706e+03
2.540800000000086101e+00,1.190731094177554269e+03
2.540900000000086312e+00,1.190774054232465915e+03
2.541000000000086523e+00,1.190817012404936349e+03
2.541100000000086734e+00,1.190859968694918734e+03
2.541200000000086945e+00,1.190902923102366003e+03
2.541300000000087156e+00,1.190945875627230180e+03
2.541400000000087367e+00,1.190988826269465108e+03
2.541500000000087578e+00,1.191031775029023720e+03
2.541600000000087789e+00,1.191074721905858496e+03
2.541700000000088000e+00,1.191117666899922369e+03
2.541800000000088211e+00,1.191160610011168501e+03
2.541900000000088422e+00,1.191203551239550052e+03
2.542000000000088633e+00,1.191246490585019728e+03
2.542100000000088844e+00,1.191289428047530464e+03
2.542200000000089055e+00,1.191332363627035193e+03
2.542300000000089266e+00,1.191375297323487302e+03
2.542400000000089477e+00,1.191418229136839273e+03
2.542500000000089688e+00,1.191461159067044264e+03
2.542600000000089899e+00,1.191504087114055665e+03
2.542700000000090110e+00,1.191547013277825954e+03
2.542800000000090321e+00,1.191589937558308748e+03
2.542900000000090532e+00,1.191632859955456070e+03
2.543000000000090743e+00,1.191675780469222445e+03
2.543100000000090954e+00,1.191718699099559672e+03
2.543200000000091165e+00,1.191761615846421137e+03
2.543300000000091377e+00,1.191804530709760456e+03
2.543400000000091588e+00,1.191847443689529882e+03
2.543500000000091799e+00,1.191890354785683030e+03
2.543600000000092010e+00,1.191933263998173061e+03
2.543700000000092221e+00,1.191976171326952681e+03
2.543800000000092432e+00,1.192019076771975278e+03
2.543900000000092643e+00,1.192061980333193787e+03
2.544000000000092854e+00,1.192104882010561596e+03
2.544100000000093065e+00,1.192147781804031411e+03
2.544200000000093276e+00,1.192190679713556847e+03
2.544300000000093487e+00,1.192233575739091066e+03
2.544400000000093698e+00,1.192276469880586319e+03
2.544500000000093909e+00,1.192319362137996904e+03
2.544600000000094120e+00,1.192362252511275756e+03
2.544700000000094331e+00,1.192405141000375352e+03
2.544800000000094542e+00,1.192448027605249990e+03
2.544900000000094753e+00,1.192490912325851923e+03
2.545000000000094964e+00,1.192533795162134538e+03
2.545100000000095175e+00,1.192576676114051224e+03
2.545200000000095386e+00,1.192619555181555370e+03
2.545300000000095597e+00,1.192662432364599908e+03
2.545400000000095808e+00,1.192705307663138456e+03
2.545500000000096019e+00,1.192748181077123718e+03
2.545600000000096230e+00,1.192791052606509083e+03
2.545700000000096441e+00,1.192833922251248168e+03
2.545800000000096652e+00,1.192876790011293906e+03
2.545900000000096863e+00,1.192919655886599912e+03
2.546000000000097074e+00,1.192962519877119348e+03
2.546100000000097285e+00,1.193005381982805375e+03
2.546200000000097496e+00,1.193048242203610698e+03
2.546300000000097707e+00,1.193091100539490071e+03
2.546400000000097918e+00,1.193133956990395745e+03
2.546500000000098130e+00,1.193176811556280882e+03
2.546600000000098341e+00,1.193219664237099778e+03
2.546700000000098552e+00,1.193262515032804913e+03
2.546800000000098763e+00,1.193305363943350130e+03
2.546900000000098974e+00,1.193348210968688818e+03
2.547000000000099185e+00,1.193391056108773682e+03
2.547100000000099396e+00,1.193433899363558794e+03
2.547200000000099607e+00,1.193476740732997541e+03
2.547300000000099818e+00,1.193519580217042858e+03
2.547400000000100029e+00,1.193562417815648132e+03
2.547500000000100240e+00,1.193605253528767435e+03
2.547600000000100451e+00,1.193648087356353926e+03
2.547700000000100662e+00,1.193690919298360313e+03
2.547800000000100873e+00,1.193733749354740667e+03
2.547900000000101084e+00,1.193776577525448602e+03
2.548000000000101295e+00,1.193819403810437052e+03
2.548100000000101506e+00,1.193862228209659861e+03
2.548200000000101717e+00,1.193905050723070190e+03
2.548300000000101928e+00,1.193947871350621881e+03
2.548400000000102139e+00,1.193990690092267641e+03
2.548500000000102350e+00,1.194033506947961996e+03
2.548600000000102561e+00,1.194076321917657879e+03
2.548700000000102772e+00,1.194119135001308678e+03
2.548800000000102983e+00,1.194161946198868463e+03
2.548900000000103194e+00,1.194204755510290397e+03
2.549000000000103405e+00,1.194247562935527640e+03
2.549100000000103616e+00,1.194290368474534262e+03
2.549200000000103827e+00,1.194333172127263424e+03
2.549300000000104038e+00,1.194375973893669197e+03
2.549400000000104249e+00,1.194418773773704743e+03
2.549500000000104460e+00,1.194461571767323676e+03
2.549600000000104671e+00,1.194504367874479613e+03
2.549700000000104883e+00,1.194547162095126168e+03
2.549800000000105094e+00,1.194589954429216959e+03
2.549900000000105305e+00,1.194632744876705146e+03
2.550000000000105516e+00,1.194675533437545255e+03
2.550100000000105727e+00,1.194718320111689991e+03
2.550200000000105938e+00,1.194761104899093425e+03
2.550300000000106149e+00,1.194803887799709173e+03
2.550400000000106360e+00,1.194846668813490851e+03
2.550500000000106571e+00,1.194889447940392074e+03
2.550600000000106782e+00,1.194932225180366459e+03
2.550700000000106993e+00,1.194975000533367847e+03
2.550800000000107204e+00,1.195017773999349629e+03
2.550900000000107415e+00,1.195060545578265646e+03
2.551000000000107626e+00,1.195103315270069288e+03
2.551100000000107837e+00,1.195146083074714852e+03
2.551200000000108048e+00,1.195188848992155727e+03
2.551300000000108259e+00,1.195231613022345527e+03
2.551400000000108470e+00,1.195274375165238098e+03
2.551500000000108681e+00,1.195317135420787054e+03
2.551600000000108892e+00,1.195359893788946465e+03
2.551700000000109103e+00,1.195402650269669721e+03
2.551800000000109314e+00,1.195445404862910436e+03
2.551900000000109525e+00,1.195488157568623137e+03
2.552000000000109736e+00,1.195530908386760530e+03
2.552100000000109947e+00,1.195573657317277139e+03
2.552200000000110158e+00,1.195616404360126580e+03
2.552300000000110369e+00,1.195659149515262470e+03
2.552400000000110580e+00,1.195701892782638879e+03
2.552500000000110791e+00,1.195744634162209650e+03
2.552600000000111002e+00,1.195787373653928171e+03
2.552700000000111213e+00,1.195830111257748285e+03
2.552800000000111424e+00,1.195872846973624746e+03
2.552900000000111636e+00,1.195915580801510259e+03
2.553000000000111847e+00,1.195958312741359123e+03
2.553100000000112058e+00,1.196001042793125407e+03
2.553200000000112269e+00,1.196043770956762728e+03
2.553300000000112480e+00,1.196086497232224701e+03
2.553400000000112691e+00,1.196129221619465852e+03
2.553500000000112902e+00,1.196171944118439569e+03
2.553600000000113113e+00,1.196214664729100150e+03
2.553700000000113324e+00,1.196257383451400983e+03
2.553800000000113535e+00,1.196300100285296367e+03
2.553900000000113746e+00,1.196342815230740143e+03
2.554000000000113957e+00,1.196385528287686157e+03
2.554100000000114168e+00,1.196428239456088477e+03
2.554200000000114379e+00,1.196470948735900947e+03
2.554300000000114590e+00,1.196513656127077638e+03
2.554400000000114801e+00,1.196556361629572393e+03
2.554500000000115012e+00,1.196599065243339282e+03
2.554600000000115223e+00,1.196641766968331922e+03
2.554700000000115434e+00,1.196684466804504609e+03
2.554800000000115645e+00,1.196727164751811415e+03
2.554900000000115856e+00,1.196769860810206410e+03
2.555000000000116067e+00,1.196812554979643437e+03
2.555100000000116278e+00,1.196855247260076339e+03
2.555200000000116489e+00,1.196897937651459415e+03
2.555300000000116700e+00,1.196940626153746507e+03
2.555400000000116911e+00,1.196983312766891686e+03
2.555500000000117122e+00,1.197025997490849250e+03
2.555600000000117333e+00,1.197068680325573041e+03
2.555700000000117544e+00,1.197111361271016904e+03
2.555800000000117755e+00,1.197154040327135590e+03
2.555900000000117966e+00,1.197196717493882488e+03
2.556000000000118177e+00,1.197239392771211897e+03
2.556100000000118388e+00,1.197282066159078113e+03
2.556200000000118600e+00,1.197324737657435435e+03
2.556300000000118811e+00,1.197367407266237024e+03
2.556400000000119022e+00,1.197410074985438087e+03
2.556500000000119233e+00,1.197452740814992467e+03
2.556600000000119444e+00,1.197495404754853553e+03
2.556700000000119655e+00,1.197538066804976097e+03
2.556800000000119866e+00,1.197580726965314625e+03
2.556900000000120077e+00,1.197623385235822752e+03
2.557000000000120288e+00,1.197666041616454777e+03
2.557100000000120499e+00,1.197708696107164997e+03
2.557200000000120710e+00,1.197751348707907255e+03
2.557300000000120921e+00,1.197793999418636076e+03
2.557400000000121132e+00,1.197836648239305759e+03
2.557500000000121343e+00,1.197879295169870147e+03
2.557600000000121554e+00,1.197921940210283765e+03
2.557700000000121765e+00,1.197964583360500455e+03
2.557800000000121976e+00,1.198007224620475199e+03
2.557900000000122187e+00,1.198049863990161612e+03
2.558000000000122398e+00,1.198092501469513991e+03
2.558100000000122609e+00,1.198135137058486634e+03
