# %ECSV 1.0
# ---
# datatype:
# - {name: wav, unit: Angstrom, datatype: float64}
# - {name: flux_nu, unit: erg / (cm2 Hz s), datatype: float64}
# meta: {C/O: '1.00', Kzz: '1.0000E+05', Teff: '1500.', Y: '0.28', '[Fe/H]': '0.50', f_hole: '1.00', f_rain: '0.00', grav: '1000.'}
# schema: astropy-2.0
wav flux_nu
4000.0559999999996 nan
4050.0559999999996 1.0600896424464415e-10
4100.056 6.490380193139637e-10
4150.056 8.232703251070565e-10
4200.056 7.169990744029391e-10
4250.056 8.401978381900915e-10
4300.056 8.410626653601382e-10
4350.056 8.705424964800481e-10
4400.056 9.945855478201047e-10
4450.056 9.228799705200195e-10
4500.056 9.023345737900603e-10
4550.056 1.08335452827927e-09
4600.056 1.1339483391399874e-09
4650.056 1.0450956224098894e-09
4700.056 1.188938220310038e-09
4750.056 1.126784180739963e-09
4800.056 6.636402828200201e-10
4850.056 4.3686377140999436e-10
4900.056 3.0178256072999914e-10
4950.056 1.635073003129988e-10
5000.056 5.581542736299923e-11
5050.056 2.0263079747999857e-11
5100.056 1.6415990128999865e-11
5150.056 1.4474344865999801e-11
5200.056 1.2492332014000021e-11
5250.056 1.0196635087199949e-11
5300.056 8.255652857199976e-12
5350.056 6.740540316799979e-12
5400.056 5.563170883599987e-12
5450.056 4.566594551699986e-12
5500.056 3.696813165099986e-12
5550.056 2.9472139695999915e-12
5600.056 2.297267958199992e-12
5650.056 1.719596316399994e-12
5700.056 1.219315267939994e-12
5750.056 7.936303241699948e-13
5800.056 4.679828197099961e-13
5850.056 2.3261479274799695e-13
5900.056 6.744433735983141e-14
5950.056 4.965553156600082e-13
6000.056 1.5746882848200288e-12
6050.056 4.197583122700042e-12
6100.056 9.518000868500091e-12
6150.056 1.946454805900017e-11
6200.056 3.661078793100028e-11
6250.056 6.47513387460005e-11
6300.056 1.0936626569700084e-10
6350.056 1.7781707755000128e-10
6400.056 2.787977521900018e-10
6450.056 4.2409794994000287e-10
6500.056 6.312815966100047e-10
6550.056 9.226435900700058e-10
6600.056 1.3287618746000074e-09
6650.056 1.8677689623000054e-09
6700.056 1.666914549910303e-09
6750.056 3.3219426336000217e-09
6800.056 4.383004419400014e-09
6850.056 4.900172676400007e-09
6900.056 4.661368312500008e-09
6950.056 4.156757965099994e-09
7000.056 4.0915802994000175e-09
7050.056 4.467068846200002e-09
7100.056 4.964821227300007e-09
7150.056 5.3003695254999755e-09
7200.056 5.392073566300042e-09
7250.056 5.107895061499935e-09
7300.056 4.5468501129999915e-09
7350.056 3.910914564599973e-09
7400.056 3.321226351500005e-09
7450.056 2.7217263800000007e-09
7500.056 2.1079324550999892e-09
7550.056 1.5202832555999892e-09
7600.056 9.331170843699867e-10
7650.056 1.3162937497555133e-10
7700.056 5.2125883448571936e-11
7750.056 6.282300899800183e-10
7800.056 1.4765654294664316e-09
7850.056 3.347525276900035e-09
7900.056 5.398130508200034e-09
7950.056 6.3864982031362736e-09
8000.056 1.1523956880400105e-08
8050.056 1.5688171394000085e-08
8100.056 2.0633461494000002e-08
8150.056 2.6604038788000028e-08
8200.056 3.0971372801600554e-08
8250.056 4.210344655400063e-08
8300.056 5.151592678900173e-08
8350.056 6.201232892199956e-08
8400.056 7.346014997899847e-08
8450.056 8.427155413199907e-08
8500.056 8.618634577877037e-08
8550.056 1.0362516337300295e-07
8600.056 1.1293595957299906e-07
8650.056 1.0632247708699226e-07
8700.056 1.1449032569898514e-07
8750.056 1.2956846797400553e-07
8800.056 1.5549436046300672e-07
8850.056 1.774736481269905e-07
