# %ECSV 1.0
# ---
# datatype:
# - {name: wav, unit: Angstrom, datatype: float64}
# - {name: flux_nu, unit: erg / (cm2 Hz s), datatype: float64}
# meta: {C/O: '1.00', Kzz: '1.0000E+05', Teff: '450.', Y: '0.28', '[Fe/H]': '-0.50', f_hole: '1.00', f_rain: '0.00', grav: '1780.'}
# schema: astropy-2.0
wav flux_nu
4000.0559999999996 nan
4050.0559999999996 4.931871745900141e-18
4100.056 5.345284483810114e-16
4150.056 6.473509712300078e-15
4200.056 1.0970689236700088e-14
4250.056 8.825868285000092e-14
4300.056 2.356452600100019e-13
4350.056 4.831461614000014e-13
4400.056 8.858604802600047e-13
4450.056 1.5034374585000083e-12
4500.056 2.374650326300016e-12
4550.056 3.0870258130000024e-12
4600.056 1.859476858099995e-12
4650.056 1.4106358768000001e-12
4700.056 7.57135789619994e-13
4750.056 2.1429660319399717e-13
4800.056 5.978108106399941e-14
4850.056 2.2817976560999817e-14
4900.056 1.2126255780999938e-14
4950.056 7.336246384399962e-15
5000.056 4.089417940399975e-15
5050.056 2.6485322501999964e-15
5100.056 2.582135677800001e-15
5150.056 2.623853062800001e-15
5200.056 2.7649165986000012e-15
5250.056 2.9511015109000022e-15
5300.056 3.159125792400003e-15
5350.056 3.4219399470000035e-15
5400.056 3.759203093700005e-15
5450.056 4.119001923500004e-15
5500.056 4.498778145800004e-15
5550.056 4.8760003592000046e-15
5600.056 5.244865978600005e-15
5650.056 5.573016110000005e-15
5700.056 5.778398938800001e-15
5750.056 5.651332175999997e-15
5800.056 5.099997314799987e-15
5850.056 3.586901910099962e-15
5900.056 1.1983374589110356e-15
5950.056 7.365347303700098e-15
6000.056 1.5372824451000127e-14
6050.056 2.6818387253000184e-14
6100.056 4.256524613000026e-14
6150.056 6.407063666800036e-14
6200.056 9.402566863800047e-14
6250.056 1.3540135290000067e-13
6300.056 1.9304332408000098e-13
6350.056 2.7242685008000133e-13
6400.056 3.811839378900019e-13
6450.056 5.126077484700016e-13
6500.056 7.047354816600042e-13
6550.056 9.75282590590003e-13
6600.056 1.3452200761000085e-12
6650.056 1.8607758795000097e-12
6700.056 2.4061556693000105e-12
6750.056 3.3025873289000136e-12
6800.056 4.013216074600009e-12
6850.056 4.141215916699996e-12
6900.056 3.460402173699982e-12
6950.056 2.7555782341e-12
7000.056 2.6960950231999917e-12
7050.056 2.7748769722000016e-12
7100.056 3.0376640052000007e-12
7150.056 2.8330216153999725e-12
7200.056 2.6353694511000234e-12
7250.056 2.782236416299946e-12
7300.056 2.782790619000031e-12
7350.056 3.0690392275000035e-12
7400.056 3.3608666437000055e-12
7450.056 3.683757315500012e-12
7500.056 3.898886167200002e-12
7550.056 3.984155951200001e-12
7600.056 3.931335502499995e-12
7650.056 1.953451511279952e-12
7700.056 1.8387620230500434e-12
7750.056 4.3698135233000444e-12
7800.056 5.847913878600042e-12
7850.056 8.317109471500029e-12
7900.056 1.0518997084100043e-11
7950.056 1.161552530470006e-11
8000.056 1.6304847906000085e-11
8050.056 2.012379119300009e-11
8100.056 2.1092545622999923e-11
8150.056 2.146232530500034e-11
8200.056 3.205143222000034e-11
8250.056 3.7117878721600436e-11
8300.056 4.583756287700044e-11
8350.056 5.629473992300041e-11
8400.056 7.142523508400083e-11
8450.056 9.273971655100079e-11
8500.056 1.1176215090000023e-10
8550.056 1.4010203938000195e-10
8600.056 1.7714677541000144e-10
8650.056 2.1492170228000165e-10
8700.056 2.553404449800019e-10
8750.056 3.054257919400023e-10
8800.056 3.5823605504000214e-10
8850.056 3.9590839859999933e-10
8900.056 3.0994076630999514e-10
8950.056 2.8172582852000354e-10
9000.056 3.2687990356400164e-10
9050.056 6.23455554750006e-10
9100.056 7.138644345300216e-10
9150.056 8.21783836839998e-10
9200.056 1.0361455748600258e-09
9250.056 9.867261501899622e-10
9300.056 1.0500513168840074e-10
9350.056 1.7237893426194654e-10
9400.056 7.304654967105123e-10
9450.056 4.303305723030828e-10
9500.056 4.308257345591259e-10
9550.056 4.839998927538494e-10
9600.056 6.028491535889865e-10
9650.056 9.46355171563071e-10
9700.056 1.8208129946299685e-09
9750.056 2.0903141059601064e-09
9800.056 2.6209170946399883e-09
9850.056 3.312181059199998e-09
9900.056 4.269414254700077e-09
9950.056 4.870596132200044e-09
