"jname","ndup","ra","dec","file","root","nGr","Grating","grade","zfit","z","comment","References","nRef","sn50","wmin","wmax","Lya","Ha","OIII","L_Ha","L_OIII","HST","NIRCam","slit","FITS","Fnu","Flam"
"j001424.92m302256.05","2","3.603845","-30.382235","abell2744-ddt-v2_prism-clear_2756_100001.spec.fits","abell2744-ddt-v2","0","","3","7.8753","7.8753","Redshifts match v1 grade=3","KNa23  z=7.874","1","1.29","0.61","5.28","-2.5","","","","42.31","","","","FITS   zfit   spl","",""
"j001424.81m302256.02","1","3.603377","-30.382238","abell2744-ddt-v2_prism-clear_2756_100002.spec.fits","abell2744-ddt-v2","0","","3","7.8798","7.8798","Redshifts match v1 grade=3","TMo22  z=7.877","1","0.75","0.61","5.28","-0.7","","","","42.16","","","","FITS   zfit   spl","",""
"j001425.58m302251.21","1","3.606571","-30.380932","abell2744-ddt-v2_prism-clear_2756_100004.spec.fits","abell2744-ddt-v2","0","","2","3.7511","3.7511","","TMo22  z=7.884","1","0.33","0.61","5.28","","2.2","3.2","41.1","41.49","","","","FITS   zfit   spl","",""
"j001425.92m302351.94","1","3.608015","-30.397762","abell2744-ddt-v2_prism-clear_2756_10018.spec.fits","abell2744-ddt-v2","0","","1","6.3351","6.3351","","-","0","0.43","0.61","5.28","0.1","2.9","","41.77","41.64","","","","FITS   zfit   spl","",""
"j001419.55m302604.13","1","3.581439","-30.434479","abell2744-ddt-v2_prism-clear_2756_10020.spec.fits","abell2744-ddt-v2","0","","1","6.659","6.659","","-","0","-0.07","0.61","5.28","0.1","0.6","","41.07","40.87","","","","FITS   zfit   spl","",""
"j001423.06m302308.90","1","3.596094","-30.385806","abell2744-ddt-v2_prism-clear_2756_10025.spec.fits","abell2744-ddt-v2","0","","3","7.8851","7.8851","Redshifts match v1 grade=3","TMo22  z=7.887 ;  KEHe22  z=7.885","2","1.26","0.61","5.28","-1.3","","","","43.01","","","","FITS   zfit   spl","",""
"j001425.11m302332.82","1","3.604643","-30.392451","abell2744-ddt-v2_prism-clear_2756_101.spec.fits","abell2744-ddt-v2","0","","1","2.5604","2.5604","","-","0","1","0.61","5.28","","5.9","1.6","41.07","40.79","","","","FITS   zfit   spl","",""
"j001421.32m302341.42","1","3.588837","-30.39484","abell2744-ddt-v2_prism-clear_2756_102.spec.fits","abell2744-ddt-v2","0","","3","2.6498","2.6498","Redshifts match v1 grade=3","-","0","0.83","0.61","5.28","","8.2","4.5","41.51","41.53","","","","FITS   zfit   spl","",""
"j001416.93m302418.41","1","3.570532","-30.405114","abell2744-ddt-v2_prism-clear_2756_-10.spec.fits","abell2744-ddt-v2","0","","1","2.8872","2.8872","","-","0","0.13","0.61","5.28","","3.3","1.1","40.98","40.7","","","","FITS   zfit   spl","",""
"j001421.77m302343.95","1","3.590694","-30.395542","abell2744-ddt-v2_prism-clear_2756_110003.spec.fits","abell2744-ddt-v2","0","","3","5.6617","5.6617","Redshifts match v1 grade=3","-","0","4.27","0.61","5.28","-1.2","36.1","","42.68","43.01","","","","FITS   zfit   spl","",""
"j001418.14m302603.46","1","3.575582","-30.434293","abell2744-ddt-v2_prism-clear_2756_-11.spec.fits","abell2744-ddt-v2","0","","1","5.43","5.43","","-","0","-0.09","0.61","5.28","0.1","2.1","","41.11","40.18","","","","FITS   zfit   spl","",""
"j001412.21m302421.23","1","3.550854","-30.405896","abell2744-ddt-v2_prism-clear_2756_150015.spec.fits","abell2744-ddt-v2","0","","3","5.0477","5.0477","Redshifts match v1 grade=3","-","0","1.69","0.61","5.28","3.5","23.4","","42.32","42.73","","","","FITS   zfit   spl","",""
"j001419.23m302544.64","1","3.580133","-30.429067","abell2744-ddt-v2_prism-clear_2756_160024.spec.fits","abell2744-ddt-v2","0","","1","0.1336","0.1336","","-","0","1.04","0.61","5.28","","1.7","","38.26","","","","","FITS   zfit   spl","",""
"j001427.09m302611.01","1","3.612873","-30.436393","abell2744-ddt-v2_prism-clear_2756_160118.spec.fits","abell2744-ddt-v2","0","","3","2.9317","2.9317","Redshifts match v1 grade=3","-","0","3.6","0.75","5.28","","7.4","7.9","41.36","41.68","","","","FITS   zfit   spl","",""
"j001415.50m302529.90","1","3.5646","-30.424971","abell2744-ddt-v2_prism-clear_2756_160123.spec.fits","abell2744-ddt-v2","0","","1","0.2747","0.2747","","-","0","1.9","0.61","5.28","","2.2","0.2","38.98","38.19","","","","FITS   zfit   spl","",""
"j001419.27m302527.85","1","3.580275","-30.424404","abell2744-ddt-v2_prism-clear_2756_160133.spec.fits","abell2744-ddt-v2","0","","3","4.0228","4.0228","Redshifts match v1 grade=3","YIs23  z=4.015 ;  KNa23  z=4.015","2","1.57","0.61","5.28","","31","","42.3","42.78","","","","FITS   zfit   spl","",""
"j001427.84m302547.70","1","3.616018","-30.429917","abell2744-ddt-v2_prism-clear_2756_160149.spec.fits","abell2744-ddt-v2","0","","3","3.7869","3.7869","Redshifts match v1 grade=3","-","0","3.68","0.61","5.28","","10.7","9.9","41.55","41.77","","","","FITS   zfit   spl","",""
"j001413.79m302548.76","1","3.557455","-30.430211","abell2744-ddt-v2_prism-clear_2756_160150.spec.fits","abell2744-ddt-v2","0","","1","0.7428","0.7428","","-","0","2.32","0.61","5.28","","1.9","0.6","39.89","39.5","","","","FITS   zfit   spl","",""
"j001423.75m302552.65","1","3.598974","-30.431292","abell2744-ddt-v2_prism-clear_2756_160158.spec.fits","abell2744-ddt-v2","0","","2","0.3103","0.3103","","-","0","0.54","0.61","5.28","","","5.1","","39.66","","","","FITS   zfit   spl","",""
"j001429.52m302537.32","1","3.622981","-30.427034","abell2744-ddt-v2_prism-clear_2756_160159.spec.fits","abell2744-ddt-v2","0","","1","0.1107","0.1107",";","-","0","1.29","0.61","5.28","","1.5","","38.03","","","","","FITS   zfit   spl","",""
"j001426.61m302302.24","1","3.610858","-30.383955","abell2744-ddt-v2_prism-clear_2756_160162.spec.fits","abell2744-ddt-v2","0","","3","2.7117","2.7117","Redshifts match v1 grade=3","-","0","1.86","0.61","5.28","","10.2","10.7","41.59","41.92","","","","FITS   zfit   spl","",""
"j001416.67m302600.71","1","3.569444","-30.43353","abell2744-ddt-v2_prism-clear_2756_160168.spec.fits","abell2744-ddt-v2","0","","1","0.0579","0.0579","","-","0","0.91","0.61","5.28","","2.3","","37.81","","","","","FITS   zfit   spl","",""
"j001415.77m302534.06","1","3.565696","-30.426128","abell2744-ddt-v2_prism-clear_2756_160170.spec.fits","abell2744-ddt-v2","0","","3","4.9108","4.9108","Redshifts match v1 grade=3","-","0","1.87","0.61","5.28","1.9","23.5","","42.08","42.47","","","","FITS   zfit   spl","",""
"j001415.84m302353.70","1","3.565984","-30.398251","abell2744-ddt-v2_prism-clear_2756_160182.spec.fits","abell2744-ddt-v2","0","","1","0.1216","0.1216",";","-","0","0.65","0.61","5.28","","2","","38.04","","","","","FITS   zfit   spl","",""
"j001427.28m302355.12","1","3.613656","-30.398646","abell2744-ddt-v2_prism-clear_2756_160183.spec.fits","abell2744-ddt-v2","0","","3","2.8616","2.8616","Redshifts match v1 grade=3","-","0","5.82","0.61","5.28","","10.7","4.7","41.69","41.56","","","","FITS   zfit   spl","",""
"j001413.66m302356.65","1","3.556909","-30.399071","abell2744-ddt-v2_prism-clear_2756_160185.spec.fits","abell2744-ddt-v2","0","","3","3.4686","3.4686","Redshifts match v1 grade=3","-","0","1.83","0.61","5.28","","30.8","41.3","42.25","42.69","","","","FITS   zfit   spl","",""
"j001416.89m302401.22","1","3.570371","-30.400338","abell2744-ddt-v2_prism-clear_2756_160197.spec.fits","abell2744-ddt-v2","0","","1","0.125","0.125","","-","0","0.17","0.61","5.28","","2.4","","38.31","","","","","FITS   zfit   spl","",""
"j001412.31m302447.20","1","3.551302","-30.41311","abell2744-ddt-v2_prism-clear_2756_160236.spec.fits","abell2744-ddt-v2","0","","1","0.226","0.226","","-","0","1.14","0.61","5.28","","1.2","-1.5","38.54","","","","","FITS   zfit   spl","",""
"j001415.00m302421.75","1","3.562483","-30.406041","abell2744-ddt-v2_prism-clear_2756_160260.spec.fits","abell2744-ddt-v2","0","","1","0.1298","0.1298","","-","0","0.66","0.61","5.28","","2.2","","38.31","","","","","FITS   zfit   spl","",""
"j001419.45m302606.34","1","3.581043","-30.435094","abell2744-ddt-v2_prism-clear_2756_160271.spec.fits","abell2744-ddt-v2","0","","3","4.3009","4.3009","Redshifts match v1 grade=3","-","0","0.96","0.61","5.28","-0.3","4","","41.23","41.59","","","","FITS   zfit   spl","",""
"j001420.13m302600.99","1","3.58387","-30.433608","abell2744-ddt-v2_prism-clear_2756_160272.spec.fits","abell2744-ddt-v2","0","","3","2.9824","2.9824","Redshifts match v1 grade=3","-","0","4.95","0.61","5.28","","33.6","37.1","42.3","42.64","","","","FITS   zfit   spl","",""
"j001417.89m302552.96","1","3.574543","-30.431377","abell2744-ddt-v2_prism-clear_2756_160273.spec.fits","abell2744-ddt-v2","0","","1","0.0827","0.0827","","-","0","0.51","0.61","5.28","","2.6","","37.96","","","","","FITS   zfit   spl","",""
"j001419.46m302541.87","1","3.581071","-30.428296","abell2744-ddt-v2_prism-clear_2756_160275.spec.fits","abell2744-ddt-v2","0","","3","4.5788","4.5788","Redshifts match v1 grade=3","-","0","0.8","0.61","5.28","-0.2","6.5","","41.76","42.32","","","","FITS   zfit   spl","",""
"j001418.42m302540.34","1","3.576747","-30.427872","abell2744-ddt-v2_prism-clear_2756_160277.spec.fits","abell2744-ddt-v2","0","","1","2.7031","2.7031","","-","0","0.08","0.61","5.28","","2.8","2.8","40.88","41.17","","","","FITS   zfit   spl","",""
"j001423.24m302538.40","1","3.596817","-30.427335","abell2744-ddt-v2_prism-clear_2756_160278.spec.fits","abell2744-ddt-v2","0","","1","0.8426","0.8426","","-","0","1.37","0.61","5.28","","0.5","3.1","39.27","40.23","","","","FITS   zfit   spl","",""
"j001421.63m302533.34","1","3.590145","-30.425927","abell2744-ddt-v2_prism-clear_2756_160281.spec.fits","abell2744-ddt-v2","0","","3","4.7189","4.7189","Redshifts match v1 grade=3","-","0","2.09","0.61","5.28","-0.5","","","","42.39","","","","FITS   zfit   spl","",""
"j001419.40m302530.95","1","3.580833","-30.425264","abell2744-ddt-v2_prism-clear_2756_160284.spec.fits","abell2744-ddt-v2","0","","3","4.7058","4.7058","Redshifts match v1 grade=3","-","0","7.46","0.61","5.28","-5.8","33","","42.36","42.75","","","","FITS   zfit   spl","",""
"j001423.89m302524.95","1","3.599526","-30.423598","abell2744-ddt-v2_prism-clear_2756_160289.spec.fits","abell2744-ddt-v2","0","","2","0.0447","0","","-","0","5.72","1.26","5.28","","","","","","","","","FITS   zfit   spl","",""
"j001423.44m302509.78","1","3.597681","-30.419382","abell2744-ddt-v2_prism-clear_2756_160294.spec.fits","abell2744-ddt-v2","0","","2","4.0895","4.0895","","-","0","0.18","0.61","5.28","-0.2","2.6","","41.17","41.36","","","","FITS   zfit   spl","",""
"j001412.81m302415.34","1","3.553394","-30.404261","abell2744-ddt-v2_prism-clear_2756_160298.spec.fits","abell2744-ddt-v2","0","","1","0.1167","0.1167",";","-","0","1.06","0.61","5.28","","1.8","","38.05","","","","","FITS   zfit   spl","",""
"j001414.51m302346.37","1","3.560448","-30.396215","abell2744-ddt-v2_prism-clear_2756_160307.spec.fits","abell2744-ddt-v2","0","","3","2.9329","2.9329","Redshifts match v1 grade=3","-","0","11.36","0.61","5.28","","34.9","34.8","42.28","42.54","","","","FITS   zfit   spl","",""
"j001427.31m302330.79","1","3.613799","-30.391886","abell2744-ddt-v2_prism-clear_2756_160321.spec.fits","abell2744-ddt-v2","0","","1","0.3757","0.3757","","-","0","1.26","0.61","5.28","","2.6","3","39.49","39.58","","","","FITS   zfit   spl","",""
"j001413.82m302341.77","1","3.557596","-30.394936","abell2744-ddt-v2_prism-clear_2756_160325.spec.fits","abell2744-ddt-v2","0","","3","3.7559","3.7559","","-","0","0.72","0.61","5.28","","8.1","15.5","41.58","42.19","","","","FITS   zfit   spl","",""
"j001415.41m302328.59","1","3.564219","-30.391275","abell2744-ddt-v2_prism-clear_2756_160326.spec.fits","abell2744-ddt-v2","0","","1","2.8554","2.8554","","-","0","0.2","0.61","5.28","","2.4","1.7","40.88","41.02","","","","FITS   zfit   spl","",""
"j001412.70m302414.00","1","3.552931","-30.403887","abell2744-ddt-v2_prism-clear_2756_160345.spec.fits","abell2744-ddt-v2","0","","3","5.0175","5.0175","Redshifts match v1 grade=3","-","0","0.67","0.61","5.28","-0.1","8.1","","41.77","42.03","","","","FITS   zfit   spl","",""
"j001414.78m302404.86","1","3.561574","-30.40135","abell2744-ddt-v2_prism-clear_2756_160355.spec.fits","abell2744-ddt-v2","0","","0","2.0897","2.0897","","-","0","1.15","0.61","5.28","","20.3","-0.7","41.65","","","","","FITS   zfit   spl","",""
"j001425.10m302330.70","1","3.604588","-30.391862","abell2744-ddt-v2_prism-clear_2756_-1.spec.fits","abell2744-ddt-v2","0","","1","5.8687","5.8687","","-","0","-0.2","0.61","5.28","-3.4","1.9","","41.22","41.42","","","","FITS   zfit   spl","",""
"j001423.64m302406.39","1","3.598521","-30.401776","abell2744-ddt-v2_prism-clear_2756_20015.spec.fits","abell2744-ddt-v2","0","","3","2.0225","2.0225","Redshifts match v1 grade=3","-","0","6.67","0.61","5.28","","43.3","52.5","42.17","42.54","","","","FITS   zfit   spl","",""
"j001420.87m302313.20","1","3.586965","-30.386999","abell2744-ddt-v2_prism-clear_2756_20025.spec.fits","abell2744-ddt-v2","0","","3","1.8602","1.8602","Redshifts match v1 grade=3","-","0","5.05","0.61","5.28","","17","25.3","41.68","42.1","","","","FITS   zfit   spl","",""
"j001422.80m302402.61","1","3.595014","-30.400724","abell2744-ddt-v2_prism-clear_2756_202.spec.fits","abell2744-ddt-v2","0","","3","9.7928","9.7928","Redshifts match v1 grade=3","DMc23  z=N/A","1","0.65","0.61","5.28","-1.7","","","","","","","","FITS   zfit   spl","",""
"j001424.03m302457.50","1","3.600117","-30.415971","abell2744-ddt-v2_prism-clear_2756_-2.spec.fits","abell2744-ddt-v2","0","","1","3.0152","3.0152","","-","0","0.13","2.56","5.28","","2.3","","40.72","","","","","FITS   zfit   spl","",""
"j001426.09m302310.42","1","3.608701","-30.386227","abell2744-ddt-v2_prism-clear_2756_30001.spec.fits","abell2744-ddt-v2","0","","3","1.4551","1.4551","Redshifts match v1 grade=3","-","0","0.67","0.61","5.28","","8.6","13.7","40.89","41.2","","","","FITS   zfit   spl","",""
"j001421.45m302337.89","1","3.589376","-30.393858","abell2744-ddt-v2_prism-clear_2756_301.spec.fits","abell2744-ddt-v2","0","","3","3.9857","3.9857","Redshifts match v1 grade=3","-","0","6.29","0.61","5.28","","53.8","70.4","42.85","43.38","","","","FITS   zfit   spl","",""
"j001414.83m302554.50","1","3.561774","-30.431806","abell2744-ddt-v2_prism-clear_2756_320021.spec.fits","abell2744-ddt-v2","0","","2","0.2846","0.3027","","-","0","104.35","0.61","5.28","","-1","1.4","","40.05","","","","FITS   zfit   spl","",""
"j001426.49m302453.97","1","3.610363","-30.414991","abell2744-ddt-v2_prism-clear_2756_320023.spec.fits","abell2744-ddt-v2","0","","3","0.0447","0","","-","0","6.62","0.61","5.28","","-1","","","","","","","FITS   zfit   spl","",""
"j001423.62m302538.20","1","3.598399","-30.427276","abell2744-ddt-v2_prism-clear_2756_320028.spec.fits","abell2744-ddt-v2","0","","3","0.7789","0.7789","Redshifts match v1 grade=3","-","0","30.71","2.67","5.28","","","","","","","","","FITS   zfit   spl","",""
"j001413.91m302534.09","1","3.557964","-30.426137","abell2744-ddt-v2_prism-clear_2756_320029.spec.fits","abell2744-ddt-v2","0","","3","0.0447","0","","-","0","40.35","0.61","5.28","","-3.9","","","","","","","FITS   zfit   spl","",""
"j001428.07m302509.64","1","3.616975","-30.419344","abell2744-ddt-v2_prism-clear_2756_320035.spec.fits","abell2744-ddt-v2","0","","3","0.0447","0","","-","0","166.24","0.61","5.28","","-349.7","","","","","","","FITS   zfit   spl","",""
"j001425.86m302248.70","1","3.607745","-30.380196","abell2744-ddt-v2_prism-clear_2756_390022.spec.fits","abell2744-ddt-v2","0","","1","0.2578","0.2578","","-","0","0.25","0.61","5.28","","2.4","1.4","38.78","38.87","","","","FITS   zfit   spl","",""
"j001412.79m302435.91","1","3.553295","-30.409976","abell2744-ddt-v2_prism-clear_2756_40003.spec.fits","abell2744-ddt-v2","0","","3","3.0535","3.0535","Redshifts match v1 grade=3","-","0","3.16","0.61","5.28","","10.5","12","41.62","41.94","","","","FITS   zfit   spl","",""
"j001416.28m302413.06","1","3.567833","-30.403628","abell2744-ddt-v2_prism-clear_2756_40020.spec.fits","abell2744-ddt-v2","0","","3","4.7258","4.7258","Redshifts match v1 grade=3","-","0","1.57","0.61","5.28","-1.1","14.7","","42.03","42.35","","","","FITS   zfit   spl","",""
"j001417.49m302415.08","1","3.572894","-30.40419","abell2744-ddt-v2_prism-clear_2756_40021.spec.fits","abell2744-ddt-v2","0","","1","5.9942","5.9942","","-","0","0.34","0.61","5.28","0.8","1.3","","41.25","41.55","","","","FITS   zfit   spl","",""
"j001417.15m302405.56","1","3.571459","-30.401546","abell2744-ddt-v2_prism-clear_2756_40033.spec.fits","abell2744-ddt-v2","0","","3","2.8473","2.8473","","-","0","0.53","0.61","5.28","","3.4","6.2","40.89","41.4","","","","FITS   zfit   spl","",""
"j001412.49m302423.55","1","3.552053","-30.406542","abell2744-ddt-v2_prism-clear_2756_40036.spec.fits","abell2744-ddt-v2","0","","3","3.0604","3.0604","Redshifts match v1 grade=3","-","0","4.29","0.61","5.28","","17.5","8.2","41.94","41.86","","","","FITS   zfit   spl","",""
"j001427.96m302531.41","1","3.616499","-30.425392","abell2744-ddt-v2_prism-clear_2756_40048.spec.fits","abell2744-ddt-v2","0","","3","3.3548","3.3548","Redshifts match v1 grade=3","-","0","1.59","0.61","5.28","","15.7","20.8","41.89","42.31","","","","FITS   zfit   spl","",""
"j001419.16m302534.63","1","3.579843","-30.426287","abell2744-ddt-v2_prism-clear_2756_40050.spec.fits","abell2744-ddt-v2","0","","3","2.9947","2.9947","Redshifts match v1 grade=3","-","0","3.87","0.61","5.28","","10.4","4.7","41.44","41.38","","","","FITS   zfit   spl","",""
"j001428.05m302522.35","1","3.61687","-30.422876","abell2744-ddt-v2_prism-clear_2756_40056.spec.fits","abell2744-ddt-v2","0","","3","4.0217","4.0217","Redshifts match v1 grade=3","-","0","2.35","0.61","5.28","","7","","41.64","42.02","","","","FITS   zfit   spl","",""
"j001428.42m302543.00","1","3.618429","-30.428612","abell2744-ddt-v2_prism-clear_2756_40059.spec.fits","abell2744-ddt-v2","0","","3","2.9895","2.9895","Redshifts match v1 grade=3","-","0","4.16","0.61","5.28","","11.4","6.6","41.65","41.68","","","","FITS   zfit   spl","",""
"j001428.30m302543.09","1","3.617936","-30.428636","abell2744-ddt-v2_prism-clear_2756_40060.spec.fits","abell2744-ddt-v2","0","","3","2.9884","2.9884","Redshifts match v1 grade=3","-","0","9.64","0.61","5.28","","37.5","24.2","42.43","42.34","","","","FITS   zfit   spl","",""
"j001420.55m302548.12","1","3.585611","-30.430035","abell2744-ddt-v2_prism-clear_2756_40062.spec.fits","abell2744-ddt-v2","0","","2","0.2678","0.2678",";","-","0","3.27","0.61","5.28","","4.4","1.7","39.52","39.34","","","","FITS   zfit   spl","",""
"j001417.25m302552.89","1","3.571892","-30.431358","abell2744-ddt-v2_prism-clear_2756_40065.spec.fits","abell2744-ddt-v2","0","","3","2.6524","2.6524","Redshifts match v1 grade=3","-","0","5.7","0.61","5.28","","28.5","28.6","42.16","42.37","","","","FITS   zfit   spl","",""
"j001423.93m302554.82","1","3.599716","-30.431895","abell2744-ddt-v2_prism-clear_2756_40066.spec.fits","abell2744-ddt-v2","0","","3","4.0233","4.0233","Redshifts match v1 grade=3","KNa23  z=4.020","1","5.89","2.94","5.28","","48.3","","42.58","","","","","FITS   zfit   spl","",""
"j001426.78m302556.03","1","3.611595","-30.43223","abell2744-ddt-v2_prism-clear_2756_40067.spec.fits","abell2744-ddt-v2","0","","3","2.85","2.85","Redshifts match v1 grade=3","-","0","2.09","0.61","5.28","","12.1","18.1","41.5","41.9","","","","FITS   zfit   spl","",""
"j001413.04m302447.04","1","3.554333","-30.413065","abell2744-ddt-v2_prism-clear_2756_40074.spec.fits","abell2744-ddt-v2","0","","2","0.2969","0.2969","","-","0","5.08","0.61","5.28","","-0.8","-0.2","","","","","","FITS   zfit   spl","",""
"j001427.20m302455.54","1","3.613327","-30.415427","abell2744-ddt-v2_prism-clear_2756_40087.spec.fits","abell2744-ddt-v2","0","","3","2.6113","2.6113","Redshifts match v1 grade=3","-","0","8.64","0.61","5.28","","34.7","40.1","42.25","42.59","","","","FITS   zfit   spl","",""
"j001423.15m302500.76","1","3.596439","-30.416877","abell2744-ddt-v2_prism-clear_2756_40090.spec.fits","abell2744-ddt-v2","0","","1","1.3029","1.3029","","-","0","0","1.39","5.28","","-1.3","","","","","","","FITS   zfit   spl","",""
"j001428.58m302504.97","1","3.619087","-30.418048","abell2744-ddt-v2_prism-clear_2756_40092.spec.fits","abell2744-ddt-v2","0","","3","3.0588","3.0588","Redshifts match v1 grade=3","-","0","5.39","0.61","5.28","","31.2","36.2","42.17","42.55","","","","FITS   zfit   spl","",""
"j001425.18m302507.32","1","3.604914","-30.418699","abell2744-ddt-v2_prism-clear_2756_40094.spec.fits","abell2744-ddt-v2","0","","3","2.6696","2.6696","Redshifts match v1 grade=3","-","0","3.25","0.79","5.28","","17.9","21.7","41.75","42.12","","","","FITS   zfit   spl","",""
"j001423.43m302302.11","1","3.597625","-30.383918","abell2744-ddt-v2_prism-clear_2756_40178.spec.fits","abell2744-ddt-v2","0","","1","0.0838","0.0838","","-","0","0.7","0.61","5.28","","2","","37.87","","","","","FITS   zfit   spl","",""
"j001421.11m302311.57","1","3.587965","-30.386548","abell2744-ddt-v2_prism-clear_2756_40185.spec.fits","abell2744-ddt-v2","0","","1","7.3844","7.3844","","-","0","0.24","2.79","5.28","","","","","41.42","","","","FITS   zfit   spl","",""
"j001426.25m302319.14","1","3.60936","-30.38865","abell2744-ddt-v2_prism-clear_2756_40190.spec.fits","abell2744-ddt-v2","0","","1","0.2687","0.2687","","-","0","0.18","0.61","5.28","","3.1","4","39.09","39.49","","","","FITS   zfit   spl","",""
"j001413.93m302322.62","1","3.558029","-30.389616","abell2744-ddt-v2_prism-clear_2756_40196.spec.fits","abell2744-ddt-v2","0","","3","4.7568","4.7568","Redshifts match v1 grade=3","-","0","2.06","0.61","5.28","-1.5","37.8","","42.5","42.99","","","","FITS   zfit   spl","",""
"j001427.97m302528.28","1","3.616541","-30.424521","abell2744-ddt-v2_prism-clear_2756_40202.spec.fits","abell2744-ddt-v2","0","","3","3.7331","3.7331","Redshifts match v1 grade=3","-","0","9.89","0.61","5.28","","43.6","48.5","42.49","42.79","","","","FITS   zfit   spl","",""
"j001422.29m302346.81","1","3.592863","-30.396336","abell2744-ddt-v2_prism-clear_2756_410044.spec.fits","abell2744-ddt-v2","0","","2","0.2722","0.2722","","-","0","49.28","0.61","5.28","","-0.2","0.3","","38.67","","","","FITS   zfit   spl","",""
"j001422.23m302349.55","1","3.592619","-30.397096","abell2744-ddt-v2_prism-clear_2756_410045.spec.fits","abell2744-ddt-v2","0","","3","0.6123","0.6123",";","-","0","12.44","0.61","5.28","","4.4","0.3","40.29","39","","","","FITS   zfit   spl","",""
"j001417.05m302317.28","1","3.571049","-30.388132","abell2744-ddt-v2_prism-clear_2756_410067.spec.fits","abell2744-ddt-v2","0","","2","0.2736","0.2736","","-","0","15.05","0.61","5.28","","-1.5","2.3","","39.59","","","","FITS   zfit   spl","",""
"j001421.87m302307.85","1","3.591134","-30.385514","abell2744-ddt-v2_prism-clear_2756_410069.spec.fits","abell2744-ddt-v2","0","","2","1.3447","1.3447","","-","0","3.02","0.61","5.28","","1.1","2.9","40.42","40.88","","","","FITS   zfit   spl","",""
"j001420.37m302330.13","1","3.584874","-30.391701","abell2744-ddt-v2_prism-clear_2756_500001.spec.fits","abell2744-ddt-v2","0","","1","0.2616","0.2616","","-","0","0.21","2.22","5.28","","","","","","","","","FITS   zfit   spl","",""
"j001421.53m302353.36","1","3.589697","-30.398156","abell2744-ddt-v2_prism-clear_2756_500002.spec.fits","abell2744-ddt-v2","0","","1","0.4094","0.4094","","-","0","0.49","0.61","5.28","","1.2","2.2","39.41","39.63","","","","FITS   zfit   spl","",""
"j001421.94m302407.13","1","3.591399","-30.401982","abell2744-ddt-v2_prism-clear_2756_500003.spec.fits","abell2744-ddt-v2","0","","1","4.6762","4.6762","","-","0","-0.12","0.61","5.28","-2.1","3.7","","41.44","","","","","FITS   zfit   spl","",""
"j001420.60m302420.00","1","3.585816","-30.405556","abell2744-ddt-v2_prism-clear_2756_500010.spec.fits","abell2744-ddt-v2","0","","2","0.9927","0.9927","","-","0","0.18","0.61","5.28","","1.2","4","39.91","40.48","","","","FITS   zfit   spl","",""
"j001416.81m302413.29","2","3.570056","-30.403693","abell2744-ddt-v2_prism-clear_2756_50017.spec.fits","abell2744-ddt-v2","0","","3","5.5409","5.5409","Redshifts match v1 grade=3","-","0","1.92","0.61","5.28","-1","6.4","","41.77","42.08","","","","FITS   zfit   spl","",""
"j001425.47m302407.95","1","3.606116","-30.402208","abell2744-ddt-v2_prism-clear_2756_50034.spec.fits","abell2744-ddt-v2","0","","1","0.2588","0.2588","","-","0","0.26","0.61","5.28","","2.5","2","38.96","39.08","","","","FITS   zfit   spl","",""
"j001423.75m302521.54","1","3.598959","-30.422649","abell2744-ddt-v2_prism-clear_2756_50036.spec.fits","abell2744-ddt-v2","0","","1","0.2431","0.2431","","-","0","0.76","0.61","5.28","","0","3.3","","39.34","","","","FITS   zfit   spl","",""
"j001425.57m302251.61","1","3.606537","-30.381004","abell2744-ddt-v2_prism-clear_2756_-5.spec.fits","abell2744-ddt-v2","0","","3","7.8896","7.8896","","-","0","0.56","0.61","5.28","-0.3","","","","42.65","","","","FITS   zfit   spl","",""
"j001426.12m302404.50","1","3.608851","-30.40125","abell2744-ddt-v2_prism-clear_2756_-6.spec.fits","abell2744-ddt-v2","0","","1","0.1257","0.1257","","-","0","0.7","0.61","5.28","","1","","37.78","","","","","FITS   zfit   spl","",""
"j001425.30m302347.75","1","3.605435","-30.396596","abell2744-ddt-v2_prism-clear_2756_70002.spec.fits","abell2744-ddt-v2","0","","3","5.7747","5.7747","Redshifts match v1 grade=3","-","0","0.21","0.61","5.28","2","9.6","","42.11","42.4","","","","FITS   zfit   spl","",""
"j001422.97m302312.37","1","3.595688","-30.38677","abell2744-ddt-v2_prism-clear_2756_70023.spec.fits","abell2744-ddt-v2","0","","1","0.9305","0.9305","","-","0","1.3","0.61","5.28","","0.4","-0.4","39.33","","","","","FITS   zfit   spl","",""
"j001416.73m302432.60","1","3.569699","-30.409056","abell2744-ddt-v2_prism-clear_2756_70027.spec.fits","abell2744-ddt-v2","0","","1","5.9711","5.9711","","-","0","-0.08","0.61","5.28","0.7","3.4","","41.53","41.05","","","","FITS   zfit   spl","",""
"j001425.08m302330.79","1","3.604494","-30.391887","abell2744-ddt-v2_prism-clear_2756_-7.spec.fits","abell2744-ddt-v2","0","","1","0.3912","0.3912","","-","0","-0.3","0.61","5.28","","0.6","3.8","38.69","39.5","","","","FITS   zfit   spl","",""
"j001416.05m302428.90","1","3.566861","-30.408027","abell2744-ddt-v2_prism-clear_2756_80007.spec.fits","abell2744-ddt-v2","0","","1","0.6306","0.6307","","-","0","0.14","0.61","5.28","","1.6","1.2","39.44","39.3","","","","FITS   zfit   spl","",""
