"ra","dec","file","root","grade","zfit","z","comment","References","nRef","grating","filter","sn50","wmin","wmax","Lya","Ha","OIII","HST","NIRCam","slit","FITS","Fnu","Flam"
"215.226785","53.036554","ceers-lr-v1_prism-clear_1345_1040.spec.fits","ceers-lr-v1","1","1.4943","1.4943","","-","0","PRISM","CLEAR","2.47","0.6","5.29","","-0.1","-1.8","","","","FITS   zfit   spl","",""
"214.872643","52.856248","ceers-lr-v1_prism-clear_1345_10588.spec.fits","ceers-lr-v1","3","1.3252","1.3252","","-","0","PRISM","CLEAR","10.06","0.6","5.29","","5.4","5.5","","","","FITS   zfit   spl","",""
"214.831018","52.864972","ceers-lr-v1_prism-clear_1345_10607.spec.fits","ceers-lr-v1","1","0.7117","0.7117","","-","0","PRISM","CLEAR","2.26","0.6","5.29","","","","","","","FITS   zfit   spl","",""
"214.814945","52.878611","ceers-lr-v1_prism-clear_1345_10615.spec.fits","ceers-lr-v1","3","1.9169","1.9169","","-","0","PRISM","CLEAR","17.88","0.6","5.29","","8","5","","","","FITS   zfit   spl","",""
"215.177167","53.048975","ceers-lr-v1_prism-clear_1345_1064.spec.fits","ceers-lr-v1","3","6.7983","6.7983","","KNa23  z=6.794","1","PRISM","CLEAR","0.7","0.6","5.29","1.8","12.1","27.3","","","","FITS   zfit   spl","",""
"215.116854","53.001081","ceers-lr-v1_prism-clear_1345_1065.spec.fits","ceers-lr-v1","3","6.1894","6.1894","","KNa23  z=6.190","1","PRISM","CLEAR","3.48","0.6","5.29","-1.9","24.6","38.4","","","","FITS   zfit   spl","",""
"215.24452","53.039733","ceers-lr-v1_prism-clear_1345_10685.spec.fits","ceers-lr-v1","3","0.7364","0.7364","","-","0","PRISM","CLEAR","41.93","0.6","5.29","","18.4","2.8","","","","FITS   zfit   spl","",""
"215.215043","53.019509","ceers-lr-v1_prism-clear_1345_10695.spec.fits","ceers-lr-v1","3","3.3493","3.3493","","-","0","PRISM","CLEAR","3.29","0.6","5.29","","34.2","40.7","","","","FITS   zfit   spl","",""
"214.794282","52.714956","ceers-lr-v1_prism-clear_1345_10895.spec.fits","ceers-lr-v1","3","3.3536","3.3536","","-","0","PRISM","CLEAR","6.97","0.6","5.29","","15.9","6.9","","","","FITS   zfit   spl","",""
"215.152032","52.974042","ceers-lr-v1_prism-clear_1345_10995.spec.fits","ceers-lr-v1","3","4.485","4.485","very strong HeI 5876 and 4472","KNa23  z=4.482","1","PRISM","CLEAR","14.06","0.6","5.29","-1.2","46.1","30.5","","","","FITS   zfit   spl","",""
"215.234198","53.033109","ceers-lr-v1_prism-clear_1345_11015.spec.fits","ceers-lr-v1","3","3.6228","3.6228","","-","0","PRISM","CLEAR","8.21","0.6","5.29","","35.7","42.3","","","","FITS   zfit   spl","",""
"214.932554","52.820319","ceers-lr-v1_prism-clear_1345_11017.spec.fits","ceers-lr-v1","3","3.4451","3.4451","","-","0","PRISM","CLEAR","7.01","0.6","5.29","","29.9","38.5","","","","FITS   zfit   spl","",""
"215.091047","52.954285","ceers-lr-v1_prism-clear_1345_1102.spec.fits","ceers-lr-v1","3","6.9925","6.9925","","MTa23  z=7.000 ;  KNa23  z=6.994","2","PRISM","CLEAR","2.01","0.6","5.29","-1.7","3.5","15.9","","","","FITS   zfit   spl","",""
"215.210983","53.023825","ceers-lr-v1_prism-clear_1345_11117.spec.fits","ceers-lr-v1","3","4.1024","4.1024",";","KNa23  z=4.105","1","PRISM","CLEAR","3.84","0.6","5.29","0.2","31.6","35.5","","","","FITS   zfit   spl","",""
"214.80935","52.741488","ceers-lr-v1_prism-clear_1345_11150.spec.fits","ceers-lr-v1","3","3.6857","3.6857","","-","0","PRISM","CLEAR","7.53","0.6","5.29","","20.3","18.7","","","","FITS   zfit   spl","",""
"215.239345","53.048306","ceers-lr-v1_prism-clear_1345_11199.spec.fits","ceers-lr-v1","3","2.4823","2.4823","","-","0","PRISM","CLEAR","10.09","0.6","4.12","","15.3","16.4","","","","FITS   zfit   spl","",""
"215.216743","53.037845","ceers-lr-v1_prism-clear_1345_11284.spec.fits","ceers-lr-v1","3","2.9381","2.9381","","-","0","PRISM","CLEAR","2.58","0.6","5.29","","13.5","14.6","","","","FITS   zfit   spl","",""
"215.153081","52.993833","ceers-lr-v1_prism-clear_1345_11290.spec.fits","ceers-lr-v1","3","4.192","4.192","","-","0","PRISM","CLEAR","2.03","2.32","5.29","","18.8","25.2","","","","FITS   zfit   spl","",""
"214.911122","52.826791","ceers-lr-v1_prism-clear_1345_11347.spec.fits","ceers-lr-v1","3","3.4402","3.4402","","-","0","PRISM","CLEAR","21.18","0.6","5.29","","40.3","38.1","","","","FITS   zfit   spl","",""
"215.086144","52.952208","ceers-lr-v1_prism-clear_1345_11383.spec.fits","ceers-lr-v1","3","5.0715","5.0715","","KNa23  z=5.072","1","PRISM","CLEAR","4.12","0.6","5.29","-1.1","18.4","17.6","","","","FITS   zfit   spl","",""
"215.016174","52.995182","ceers-lr-v1_prism-clear_1345_113.spec.fits","ceers-lr-v1","1","0.2985","0.2985","","-","0","PRISM","CLEAR","0.21","0.66","5.29","","0","","","","","FITS   zfit   spl","",""
"215.060716","52.958708","ceers-lr-v1_prism-clear_1345_1142.spec.fits","ceers-lr-v1","1","1.1084","1.1084","","KNa23  z=6.957","1","PRISM","CLEAR","1.67","0.6","5.29","","0.6","1.4","","","","FITS   zfit   spl","",""
"215.077006","52.969504","ceers-lr-v1_prism-clear_1345_1143.spec.fits","ceers-lr-v1","3","6.9336","6.9336","","KNa23  z=6.930 ;  MTa23  z=6.928","2","PRISM","CLEAR","3","0.6","5.29","-3.2","24.3","47","","","","FITS   zfit   spl","",""
"215.177978","53.02107","ceers-lr-v1_prism-clear_1345_11441.spec.fits","ceers-lr-v1","3","3.3904","3.3904","","-","0","PRISM","CLEAR","11.33","0.6","5.29","","20.9","20","","","","FITS   zfit   spl","",""
"215.182625","53.025094","ceers-lr-v1_prism-clear_1345_11454.spec.fits","ceers-lr-v1","3","3.5272","3.5272","","-","0","PRISM","CLEAR","4.74","0.6","5.29","","32.1","34.8","","","","FITS   zfit   spl","",""
"214.931396","52.849085","ceers-lr-v1_prism-clear_1345_11495.spec.fits","ceers-lr-v1","3","3.7191","3.7191","","-","0","PRISM","CLEAR","16.66","0.6","5.29","","37.3","41.6","","","","FITS   zfit   spl","",""
"215.089714","52.966183","ceers-lr-v1_prism-clear_1345_1149.spec.fits","ceers-lr-v1","3","8.1826","8.1826","","MTa23  z=8.175 ;  RSa23  z=8.175 ;  KEHe22  z=8.172 ;  KNa23  z=8.179","4","PRISM","CLEAR","2.65","0.6","5.29","-1.8","","39.5","","","","FITS   zfit   spl","",""
"214.754078","52.723166","ceers-lr-v1_prism-clear_1345_11502.spec.fits","ceers-lr-v1","1","3.776","3.776","","-","0","PRISM","CLEAR","0.33","0.6","4.65","","2.7","0.4","","","","FITS   zfit   spl","",""
