# %ECSV 1.0
# ---
# datatype:
# - {name: wav, unit: Angstrom, datatype: float64}
# - {name: flux_nu, unit: erg / (cm2 Hz s), datatype: float64}
# meta: {C/O: '1.00', Kzz: '1.0000E+05', Teff: '575.', Y: '0.28', '[Fe/H]': '0.50', f_hole: '1.00', f_rain: '0.00', grav: '18.'}
# schema: astropy-2.0
wav flux_nu
4000.0559999999996 nan
4050.0559999999996 8.14905067367447e-16
4100.056 1.0717332261460251e-13
4150.056 9.030716259200161e-13
4200.056 8.26668718345838e-13
4250.056 4.624931400100172e-12
4300.056 7.985464912900225e-12
4350.056 1.108631770740032e-11
4400.056 1.458157270340025e-11
4450.056 2.0138595259999773e-11
4500.056 2.2691346917000494e-11
4550.056 2.4107463684871627e-11
4600.056 1.737968298951119e-11
4650.056 1.1497325292699617e-11
4700.056 5.98667038079997e-12
4750.056 1.1915216492699726e-12
4800.056 2.479399093899971e-13
4850.056 7.101970041199923e-14
4900.056 2.908856466499979e-14
4950.056 1.3498896524399898e-14
5000.056 5.6321367086999334e-15
5050.056 2.9594347311000093e-15
5100.056 2.8886281079000307e-15
5150.056 3.0470562501000746e-15
5200.056 3.249114479400018e-15
5250.056 3.455522314200002e-15
5300.056 3.708723506299999e-15
5350.056 4.033367069400006e-15
5400.056 4.377798822099988e-15
5450.056 4.811949839200032e-15
5500.056 5.310729098500106e-15
5550.056 5.837884483600036e-15
5600.056 6.33650803249999e-15
5650.056 6.7362162602999804e-15
5700.056 6.8615704256000186e-15
5750.056 6.8238643498e-15
5800.056 6.261564825599995e-15
5850.056 4.598916511499908e-15
5900.056 1.556889518045793e-15
5950.056 8.68359037320043e-15
6000.056 1.739304951409944e-14
6050.056 3.037571714000097e-14
6100.056 4.8960593742000726e-14
6150.056 7.379283511800075e-14
6200.056 1.0752456847100082e-13
6250.056 1.5030860987200011e-13
6300.056 2.139701646280009e-13
6350.056 2.992383248700034e-13
6400.056 4.1098128058000533e-13
6450.056 5.281715030659706e-13
6500.056 7.421300786859747e-13
6550.056 1.0592048127520045e-12
6600.056 1.5245156286700836e-12
6650.056 2.1864936749000214e-12
6700.056 2.9459968112600304e-12
6750.056 4.304824302600036e-12
6800.056 5.5001509483000924e-12
6850.056 6.153204040000022e-12
6900.056 5.464731471770182e-12
6950.056 4.606916289873547e-12
7000.056 4.785692156059136e-12
7050.056 5.032466286332844e-12
7100.056 5.4447923551597976e-12
7150.056 4.9503647212106665e-12
7200.056 4.570593045953145e-12
7250.056 4.7455595689561996e-12
7300.056 4.7458711757057686e-12
7350.056 4.8199275350131985e-12
7400.056 4.981804737225318e-12
7450.056 5.145190137170322e-12
7500.056 5.192537354719821e-12
7550.056 5.084760756999934e-12
7600.056 4.71881874589998e-12
7650.056 1.6587549810329368e-12
7700.056 1.202157317788049e-12
7750.056 5.3181772033000616e-12
7800.056 7.84498133231989e-12
