# %ECSV 1.0
# ---
# datatype:
# - {name: wav, unit: Angstrom, datatype: float64}
# - {name: flux_nu, unit: erg / (cm2 Hz s), datatype: float64}
# meta: {C/O: '1.00', Kzz: '1.0000E+05', Teff: '575.', Y: '0.28', '[Fe/H]': '0.00', f_hole: '1.00', f_rain: '0.00', grav: '316.'}
# schema: astropy-2.0
wav flux_nu
4000.0559999999996 nan
4050.0559999999996 3.4596568049559725e-16
4100.056 6.206618563810125e-14
4150.056 5.812846264900071e-13
4200.056 5.570620774875628e-13
4250.056 3.9906677486000355e-12
4300.056 7.97684273460012e-12
4350.056 1.2155975499600065e-11
4400.056 1.768589913200011e-11
4450.056 2.5008822059000193e-11
4500.056 3.045804234300029e-11
4550.056 2.8786301628119674e-11
4600.056 6.21665672069997e-12
4650.056 3.37793565299998e-12
4700.056 1.5353543298499857e-12
4750.056 4.2021894762999466e-13
4800.056 1.1477581970199878e-13
4850.056 3.827414473999965e-14
4900.056 1.8215642463999893e-14
4950.056 1.0020177975299942e-14
5000.056 5.043259396499961e-15
5050.056 3.0519416804999987e-15
5100.056 3.0399483515000154e-15
5150.056 3.24453807090001e-15
5200.056 3.4999680861000057e-15
5250.056 3.770396931600003e-15
5300.056 4.096580806500005e-15
5350.056 4.495837875500006e-15
5400.056 4.933248138400007e-15
5450.056 5.438284590500018e-15
5500.056 5.993434285500016e-15
5550.056 6.572177140900009e-15
5600.056 7.111434598000005e-15
5650.056 7.526139633099997e-15
5700.056 7.633027885699999e-15
5750.056 7.390590694099996e-15
5800.056 6.50442495209998e-15
5850.056 4.431805567799946e-15
5900.056 1.3986955647846666e-15
5950.056 8.881812733800204e-15
6000.056 1.9107387568000006e-14
6050.056 3.397270739100039e-14
6100.056 5.427998366400043e-14
6150.056 8.16449505250005e-14
6200.056 1.187581261150006e-13
6250.056 1.6702363270000057e-13
6300.056 2.3399739067000064e-13
6350.056 3.238074032900013e-13
6400.056 4.4482917998000227e-13
6450.056 5.827919794199963e-13
6500.056 7.983907713800033e-13
6550.056 1.1085215656299905e-12
6600.056 1.5429333720200309e-12
6650.056 2.1578744918000158e-12
6700.056 2.802876942270024e-12
6750.056 3.981192785500019e-12
6800.056 4.929196355800031e-12
6850.056 5.311030384900001e-12
6900.056 4.654929421500045e-12
6950.056 3.873468716299984e-12
7000.056 4.00898679139999e-12
7050.056 4.258540612999962e-12
7100.056 4.680052484099966e-12
7150.056 4.3510248131499125e-12
7200.056 4.088011314353946e-12
7250.056 4.308962197759832e-12
7300.056 4.280314462850237e-12
7350.056 4.61107388443993e-12
7400.056 4.926295826300151e-12
7450.056 5.3412217320001794e-12
7500.056 5.593238235499996e-12
7550.056 5.601373158499993e-12
7600.056 5.314714205899984e-12
7650.056 2.076277044009926e-12
7700.056 1.6400135396320593e-12
7750.056 5.750633873600074e-12
7800.056 8.181533912600015e-12
7850.056 1.1876358412800003e-11
7900.056 1.5342025491099884e-11
7950.056 1.7343863769600068e-11
8000.056 2.40850145880002e-11
8050.056 2.979439781900035e-11
8100.056 3.148084811149918e-11
8150.056 3.4488427797610294e-11
8200.056 5.029556063898227e-11
8250.056 5.927227567644929e-11
8300.056 7.427975222790228e-11
8350.056 8.94713834495968e-11
8400.056 1.1142411800399925e-10
8450.056 1.4554753973999907e-10
8500.056 1.691461460879945e-10
8550.056 2.2152717768000463e-10
8600.056 2.7896287911000246e-10
8650.056 3.362234614900033e-10
8700.056 3.926600575300036e-10
8750.056 4.6504635603000324e-10
8800.056 5.34263185040004e-10
8850.056 5.627173497099941e-10
8900.056 3.771202818119788e-10
8950.056 3.645495276812975e-10
9000.056 3.9989454105632863e-10
9050.056 7.774455571372213e-10
9100.056 9.104793416827465e-10
9150.056 1.0286577787716664e-09
9200.056 1.3438275556751782e-09
9250.056 1.3140137441232435e-09
9300.056 3.32289606571107e-10
9350.056 4.5593397178985687e-10
9400.056 9.661144161173653e-10
9450.056 1.0070662497573515e-09
9500.056 9.172025687149375e-10
9550.056 1.0190695905549878e-09
9600.056 1.0736497460242586e-09
9650.056 1.4462306399858009e-09
9700.056 2.3438587478088877e-09
9750.056 2.4327842848356255e-09
9800.056 2.869706259855546e-09
9850.056 3.3909471041509615e-09
9900.056 4.3184674981200496e-09
9950.056 4.6933100191401345e-09
10000.056 4.6111134479198795e-09
10050.056 6.273666665400082e-09
10100.056 7.310847477599998e-09
10150.056 7.820684022999995e-09
10200.056 8.126907704900404e-09
10250.056 9.472346593270274e-09
10300.056 1.1524413763799255e-08
10350.056 1.1735555764800389e-08
