# %ECSV 1.0
# ---
# datatype:
# - {name: wav, unit: Angstrom, datatype: float64}
# - {name: flux_nu, unit: erg / (cm2 Hz s), datatype: float64}
# meta: {C/O: '1.00', Kzz: '1.0000E+05', Teff: '400.', Y: '0.28', '[Fe/H]': '0.50', f_hole: '1.00', f_rain: '0.00', grav: '32.'}
# schema: astropy-2.0
wav flux_nu
4000.0559999999996 nan
4050.0559999999996 8.84363950314821e-18
4100.056 1.036322480265021e-15
4150.056 1.0534731753300093e-14
4200.056 1.0640756648397837e-14
4250.056 9.873199507600087e-14
4300.056 2.294718330500003e-13
4350.056 4.2635139177000087e-13
4400.056 7.025496231199991e-13
4450.056 1.115795273799998e-12
4500.056 1.6427710771000055e-12
4550.056 1.6022530330518345e-12
4600.056 3.2686905348419804e-13
4650.056 1.7077054759999927e-13
4700.056 7.405228264999948e-14
4750.056 2.5566920075999716e-14
4800.056 1.1526975628999918e-14
4850.056 5.294474819999963e-15
4900.056 2.988306080599993e-15
4950.056 1.9650191680999957e-15
5000.056 1.2174392088499886e-15
5050.056 8.307283992300014e-16
5100.056 9.032008990200198e-16
5150.056 1.040889650890025e-15
5200.056 1.1891385916300082e-15
5250.056 1.333207566700001e-15
5300.056 1.4954464441999997e-15
5350.056 1.6836348719000033e-15
5400.056 1.858622979000001e-15
5450.056 2.0846459573000332e-15
5500.056 2.3538087206000468e-15
5550.056 2.6444564084000132e-15
5600.056 2.925009150399998e-15
5650.056 3.170241736399985e-15
5700.056 3.233734418600006e-15
5750.056 3.2714888485000023e-15
5800.056 2.988592131399995e-15
5850.056 2.1419227316799525e-15
5900.056 6.540049875070628e-16
5950.056 3.945685960090276e-15
6000.056 8.231170708389623e-15
6050.056 1.4823418776500566e-14
6100.056 2.4230107651000414e-14
6150.056 3.678816785500037e-14
6200.056 5.36840378800004e-14
6250.056 7.306492431800002e-14
6300.056 1.0209799458999992e-13
6350.056 1.3814813611900112e-13
6400.056 1.8188221900500212e-13
6450.056 2.0897998132258977e-13
6500.056 2.7813596701347376e-13
6550.056 3.8429324495199095e-13
6600.056 5.350947377260326e-13
6650.056 7.500823855600092e-13
6700.056 9.93021561730005e-13
6750.056 1.3785467575400122e-12
6800.056 1.6381336351000387e-12
6850.056 1.6978442363400058e-12
6900.056 1.341693372552044e-12
6950.056 1.0033011794875902e-12
7000.056 1.10147699450187e-12
7050.056 1.1141492552164633e-12
7100.056 1.2019120368122404e-12
7150.056 9.349871282285776e-13
7200.056 7.606051939491051e-13
7250.056 9.019607194938287e-13
7300.056 9.456686519278207e-13
7350.056 1.1366588453875287e-12
7400.056 1.3455071644992022e-12
7450.056 1.6861139138451696e-12
7500.056 1.9909392175099344e-12
7550.056 2.256225796139976e-12
7600.056 2.3815081263999965e-12
7650.056 1.1365088099169699e-12
7700.056 1.001279304374025e-12
7750.056 3.0543777900000263e-12
7800.056 3.804968883219884e-12
7850.056 4.8088473060599996e-12
7900.056 5.9588839086996435e-12
7950.056 6.550357009335859e-12
8000.056 7.857813743145964e-12
8050.056 8.97442461242003e-12
8100.056 6.91049849252297e-12
8150.056 6.658398535218204e-12
8200.056 1.0570588103918631e-11
8250.056 1.1914380969642846e-11
8300.056 1.426605952583244e-11
8350.056 1.3002945431350954e-11
