# %ECSV 1.0
# ---
# datatype:
# - {name: wav, unit: Angstrom, datatype: float64}
# - {name: flux_nu, unit: erg / (cm2 Hz s), datatype: float64}
# meta: {C/O: '1.00', Kzz: '1.0000E+05', Teff: '400.', Y: '0.28', '[Fe/H]': '0.50', f_hole: '1.00', f_rain: '0.00', grav: '100.'}
# schema: astropy-2.0
wav flux_nu
4000.0559999999996 nan
4050.0559999999996 1.3097885418617789e-17
4100.056 1.1115619248530211e-15
4150.056 1.0270373909500101e-14
4200.056 1.0321183020745037e-14
4250.056 9.418228344600086e-14
4300.056 2.203818860600007e-13
4350.056 4.1052589890000127e-13
4400.056 6.878008555000011e-13
4450.056 1.0936300131900004e-12
4500.056 1.6435831688000036e-12
4550.056 1.5639792895740921e-12
4600.056 2.071768759309989e-13
4650.056 1.1045563595399941e-13
4700.056 5.4445362221999664e-14
4750.056 2.463731048199982e-14
4800.056 1.3239627824399928e-14
4850.056 7.06964876939996e-15
4900.056 4.436246718799988e-15
4950.056 3.1102859151999923e-15
5000.056 2.0165878221999866e-15
5050.056 1.4144988163100045e-15
5100.056 1.5137697905800253e-15
5150.056 1.718937600000017e-15
5200.056 1.9354311972000086e-15
5250.056 2.1459163427000013e-15
5300.056 2.380812863000001e-15
5350.056 2.6516010712000047e-15
5400.056 2.911117513300005e-15
5450.056 3.2329568468000368e-15
5500.056 3.6068870644000345e-15
5550.056 4.0064335185000094e-15
5600.056 4.3925303637e-15
5650.056 4.7317374062999855e-15
5700.056 4.833742309600007e-15
5750.056 4.8615669434000035e-15
5800.056 4.410362459199989e-15
5850.056 3.149510581499953e-15
5900.056 9.8928092938765e-16
5950.056 5.80925569268031e-15
6000.056 1.2047446792299643e-14
6050.056 2.152815506990055e-14
6100.056 3.484312129800046e-14
6150.056 5.277544181300042e-14
6200.056 7.70642637460005e-14
6250.056 1.0575168869100013e-13
6300.056 1.4776440368199975e-13
6350.056 2.0065411129000065e-13
6400.056 2.6671871725000183e-13
6450.056 3.126851812029905e-13
6500.056 4.159040506419989e-13
6550.056 5.722783095139832e-13
6600.056 7.89724326572035e-13
6650.056 1.098300709780012e-12
6700.056 1.4210279447600086e-12
6750.056 1.9480444228000118e-12
6800.056 2.27534923930003e-12
6850.056 2.2899297196000017e-12
6900.056 1.7793691320000525e-12
6950.056 1.3043868426263869e-12
7000.056 1.4165831284229822e-12
7050.056 1.4403568521179858e-12
7100.056 1.571681545418948e-12
7150.056 1.2213246097414033e-12
7200.056 9.88700455874543e-13
7250.056 1.1442000709452319e-12
7300.056 1.1665572624894012e-12
7350.056 1.4098233261833851e-12
7400.056 1.660081813526115e-12
7450.056 2.0908154399901816e-12
7500.056 2.4746080829399708e-12
7550.056 2.7986404252999937e-12
7600.056 2.979843671899997e-12
7650.056 1.5583567428659664e-12
7700.056 1.4608477300660328e-12
7750.056 3.824178392500038e-12
7800.056 4.629611029079914e-12
7850.056 5.687190324499991e-12
7900.056 7.012833668179734e-12
7950.056 7.889810627679914e-12
8000.056 9.537411610110002e-12
8050.056 1.1014013483900186e-11
8100.056 8.624707567723395e-12
8150.056 8.015455779500531e-12
8200.056 1.321833750355668e-11
8250.056 1.4579284477810144e-11
8300.056 1.755730908101388e-11
8350.056 1.7922207154407232e-11
8400.056 2.1200416959963625e-11
8450.056 2.939982483854948e-11
8500.056 3.509431668199919e-11
8550.056 4.6281674531500616e-11
8600.056 5.789401145000053e-11
8650.056 6.734282346300114e-11
8700.056 6.916927277400134e-11
8750.056 7.672440985100018e-11
8800.056 7.574584275999933e-11
8850.056 5.458248004719572e-11
8900.056 6.575863510570014e-12
8950.056 7.820231149123485e-12
9000.056 5.54888242330502e-12
9050.056 2.4117226389154096e-11
9100.056 3.3202865167971876e-11
9150.056 4.418031541900973e-11
9200.056 9.251425903432614e-11
9250.056 8.32768702579905e-11
9300.056 4.764356676398353e-12
9350.056 6.28846351405782e-12
9400.056 2.01616223286096e-11
9450.056 2.3340217046049955e-11
9500.056 1.813420937041086e-11
9550.056 2.128323548366792e-11
9600.056 2.0002861201648328e-11
9650.056 3.4680926316924165e-11
9700.056 7.62020988894129e-11
9750.056 6.552336779788668e-11
9800.056 7.127364875193375e-11
9850.056 7.774141157802327e-11
9900.056 1.0815536722799822e-10
9950.056 9.101976315435295e-11
10000.056 1.1724789436368262e-10
10050.056 1.2745533852800908e-10
10100.056 1.7990175602098723e-10
10150.056 1.7057057550270448e-10
10200.056 1.5350255475224922e-10
10250.056 2.0394229118049694e-10
10300.056 3.077457983006283e-10
10350.056 3.025444553905023e-10
10400.056 6.473609062709853e-10
10450.056 1.0204519979749466e-09
10500.056 1.4655928348873548e-09
10550.056 2.096498181205095e-09
10600.056 2.4825419377099484e-09
10650.056 2.7610405507191467e-09
10700.056 2.5757078508256484e-09
10750.056 2.7632269710095397e-09
10800.056 2.5546755005581276e-09
10850.056 2.0552603315879e-09
10900.056 1.1915783753617588e-09
10950.056 4.2457161610925863e-10
11000.056 2.166469857872984e-10
11050.056 1.035698385097702e-10
11100.056 4.2484696444757976e-11
11150.056 1.1383007123659427e-11
11200.056 4.565694303794363e-12
11250.056 4.89997739233556e-12
11300.056 1.2872964237885557e-11
11350.056 2.358457455994576e-12
11400.056 1.2090599216250927e-11
11450.056 8.24839790784236e-12
11500.056 4.9998079618295636e-12
11550.056 6.136678339941724e-13
11600.056 3.4972852541023193e-13
11650.056 2.473583710084485e-12
11700.056 2.715922521331547e-12
11750.056 3.4010480582222745e-13
11800.056 3.2268689517905728e-12
11850.056 5.13202031445535e-12
11900.056 4.767879606392829e-12
11950.056 9.278517787589022e-12
12000.056 2.0228309093982688e-11
12050.056 4.48334758191276e-11
12100.056 8.82634854099604e-11
12150.056 1.6763560310013045e-10
12200.056 2.3241132430794954e-10
12250.056 4.779475759853556e-10
12300.056 9.62127333139671e-10
12350.056 1.1044260349767741e-09
12400.056 2.105336753292117e-09
12450.056 3.5633775988172837e-09
12500.056 4.224186704664857e-09
12550.056 5.488157867592983e-09
12600.056 6.8809561157838044e-09
12650.056 7.357060381425731e-09
12700.056 7.170750769754642e-09
12750.056 4.585403023157801e-09
12800.056 2.827062357106278e-09
12850.056 1.3221993161491332e-09
12900.056 8.916619022987294e-10
12950.056 6.124847453514824e-10
13000.056 5.967662203385134e-10
13050.056 2.871033983888947e-10
13100.056 2.3370204527220233e-10
13150.056 1.2494668190125224e-10
13200.056 1.1928532456255974e-10
13250.056 8.730847047120246e-11
13300.056 2.978594525069234e-11
13350.056 8.183960930952609e-12
13400.056 4.7507521529252275e-12
13450.056 1.1966923381774736e-12
13500.056 3.8521929038053884e-13
13550.056 1.1853173967215967e-13
13600.056 1.4500446509256156e-14
13650.056 1.8578897278196567e-13
13700.056 8.360201388709948e-14
13750.056 1.992959385044409e-13
13800.056 1.4034360480805571e-13
13850.056 7.44022908266607e-14
13900.056 1.5828812823656968e-13
13950.056 1.0159764484596647e-13
14000.056 1.284668791802804e-13
14050.056 2.511401423968332e-13
14100.056 3.05049653207165e-13
14150.056 7.747547479234624e-13
14200.056 4.100773849619229e-13
14250.056 7.320962968976359e-13
14300.056 2.0021781500972163e-12
14350.056 2.063466715054496e-12
14400.056 2.2421948635272934e-12
