# %ECSV 1.0
# ---
# datatype:
# - {name: wav, unit: Angstrom, datatype: float64}
# - {name: flux_nu, unit: erg / (cm2 Hz s), datatype: float64}
# meta: {C/O: '1.00', Kzz: '1.0000E+05', Teff: '950.', Y: '0.28', '[Fe/H]': '-0.50', f_hole: '1.00', f_rain: '0.00', grav: '1000.'}
# schema: astropy-2.0
wav flux_nu
4000.0559999999996 nan
4050.0559999999996 2.079411048429194e-13
4100.056 1.5167911495899825e-11
4150.056 5.313006424400122e-11
4200.056 5.039874182194815e-11
4250.056 1.008695170830018e-10
4300.056 1.4652424316500457e-10
4350.056 1.6233452945400053e-10
4400.056 2.016502204490011e-10
4450.056 2.460695731700051e-10
4500.056 2.43428890120004e-10
4550.056 2.8091119725999776e-10
4600.056 2.465515242199994e-10
4650.056 2.020898072999994e-10
4700.056 1.65193305551999e-10
4750.056 6.8015770747999e-11
4800.056 1.5989914902599748e-11
4850.056 3.0557150763999525e-12
4900.056 8.578888197199907e-13
4950.056 2.670535240699965e-13
5000.056 6.161883517499902e-14
5050.056 1.843048572899992e-14
5100.056 1.4367377037999984e-14
5150.056 1.2826017467999977e-14
5200.056 1.1890659147999979e-14
5250.056 1.1353869729999988e-14
5300.056 1.117059767799999e-14
5350.056 1.1342468767000005e-14
5400.056 1.1847363004e-14
5450.056 1.2413769485999982e-14
5500.056 1.3014731721000004e-14
5550.056 1.3607641724000008e-14
5600.056 1.416064706699999e-14
5650.056 1.455476640500001e-14
5700.056 1.4692733222000004e-14
5750.056 1.395372325199998e-14
5800.056 1.2167397529999973e-14
5850.056 8.454859648499912e-15
5900.056 2.829556449068394e-15
5950.056 1.7044976044800202e-14
6000.056 3.614051767600032e-14
6050.056 6.329237211000047e-14
6100.056 1.0151084398000052e-13
6150.056 1.559730377400009e-13
6200.056 2.3489337939000114e-13
6250.056 3.520061121100019e-13
6300.056 5.236474078100032e-13
6350.056 7.843960554700049e-13
6400.056 1.1885638258500072e-12
6450.056 1.8164068797000089e-12
6500.056 2.810802699300017e-12
6550.056 4.3929490995000275e-12
6600.056 6.920530435100063e-12
6650.056 1.0897570287800078e-11
6700.056 1.4823436561100135e-11
6750.056 2.5315416308000148e-11
6800.056 3.5374975005000164e-11
6850.056 4.2124714406000045e-11
6900.056 4.052751407199995e-11
6950.056 3.5497213906999917e-11
7000.056 3.4486920101000066e-11
7050.056 3.7720077177e-11
7100.056 4.1559411577000036e-11
7150.056 4.3704952403999855e-11
7200.056 4.273997348600026e-11
7250.056 3.91769260789995e-11
7300.056 3.4139914265000176e-11
7350.056 2.9316484537999874e-11
7400.056 2.5052218453000035e-11
7450.056 2.1215049019e-11
7500.056 1.7695406647999942e-11
7550.056 1.431394230099994e-11
7600.056 1.1280091071999926e-11
7650.056 3.1630091173828497e-12
7700.056 2.0892544562421e-12
7750.056 1.0133522456200178e-11
7800.056 1.8125942690060252e-11
7850.056 3.440451698000032e-11
7900.056 5.4495982063000415e-11
7950.056 6.911327416720091e-11
8000.056 1.3275838469000125e-10
8050.056 2.0073392268000186e-10
8100.056 2.92195723500001e-10
8150.056 4.1349220631000277e-10
8200.056 5.846863121000104e-10
8250.056 7.899829133000082e-10
8300.056 1.0560057263200324e-09
8350.056 1.3768061426600074e-09
8400.056 1.7733358323000057e-09
8450.056 2.2761480783000135e-09
8500.056 2.53993239355792e-09
8550.056 3.413636839470121e-09
8600.056 4.441843610500039e-09
8650.056 5.428157481200047e-09
8700.056 6.562506834000056e-09
8750.056 7.874363613400058e-09
8800.056 9.334487718600067e-09
8850.056 1.0809854073400052e-08
8900.056 1.1578327078399945e-08
8950.056 1.082579905518991e-08
9000.056 1.491573945569995e-08
9050.056 1.9132939891000238e-08
9100.056 2.198654971800034e-08
9150.056 2.4678106826000383e-08
9200.056 2.8534991073999506e-08
9250.056 3.0180042597498804e-08
9300.056 1.778257616849945e-08
9350.056 2.3892362464310136e-08
9400.056 3.5958344350879455e-08
9450.056 3.675704054759597e-08
9500.056 3.791099189858181e-08
9550.056 4.2158743850763043e-08
9600.056 4.532288042498038e-08
9650.056 5.260926880398123e-08
9700.056 6.485598418719714e-08
9750.056 7.161733167850295e-08
9800.056 8.102203437649799e-08
9850.056 9.223544171199929e-08
9900.056 9.49299398260001e-08
9950.056 9.909656251500031e-08
10000.056 7.797588601970046e-08
10050.056 1.0702780988700016e-07
10100.056 1.2002110861000082e-07
10150.056 1.2812646712999994e-07
10200.056 1.3839496450000092e-07
10250.056 1.503349148800007e-07
10300.056 1.6339174070999887e-07
10350.056 1.7549105869000243e-07
10400.056 1.880851019499995e-07
10450.056 1.9857730615999856e-07
10500.056 2.0604671532999966e-07
10550.056 2.1344147191000026e-07
10600.056 2.219624815699997e-07
10650.056 2.3040460816000168e-07
10700.056 2.3781725269000104e-07
10750.056 2.446145423100011e-07
10800.056 2.49444879250001e-07
10850.056 2.520980239800008e-07
10900.056 2.3405763210999822e-07
10950.056 1.8524092628799865e-07
11000.056 1.5163331688299077e-07
11050.056 1.16112719656599e-07
11100.056 8.603106148458032e-08
11150.056 6.633649858477021e-08
11200.056 7.503333199783998e-08
11250.056 9.603999590766693e-08
11300.056 9.901167886398393e-08
11350.056 5.412595671851757e-08
11400.056 1.0676346670918826e-07
11450.056 8.555879513005678e-08
11500.056 9.38482641489469e-08
11550.056 6.618378495736088e-08
11600.056 6.60279173448965e-08
11650.056 8.472353584440352e-08
11700.056 8.146910821829792e-08
11750.056 6.32028705246863e-08
11800.056 1.0091010270099921e-07
11850.056 1.3957069264699955e-07
11900.056 1.6392794711999381e-07
11950.056 1.9593466284400756e-07
12000.056 2.2184209146300062e-07
12050.056 2.510320889800056e-07
12100.056 2.7671449347999566e-07
12150.056 3.0732533955999637e-07
12200.056 3.320400468399977e-07
12250.056 3.5922642728999796e-07
12300.056 3.8916647716000306e-07
12350.056 4.013096222300002e-07
12400.056 4.199356875099972e-07
12450.056 4.3260926022000333e-07
12500.056 4.456670470000028e-07
12550.056 4.738439096100039e-07
12600.056 5.217525467500024e-07
12650.056 5.330607959300012e-07
12700.056 5.429095502000035e-07
12750.056 5.296551214900021e-07
12800.056 5.234246319300005e-07
12850.056 4.811079459799982e-07
12900.056 4.5782566859000416e-07
12950.056 4.430266311100015e-07
