# %ECSV 1.0
# ---
# datatype:
# - {name: wav, unit: Angstrom, datatype: float64}
# - {name: flux_nu, unit: erg / (cm2 Hz s), datatype: float64}
# meta: {C/O: '1.00', Kzz: '1.0000E+05', Teff: '850.', Y: '0.28', '[Fe/H]': '0.50', f_hole: '1.00', f_rain: '0.00', grav: '3160.'}
# schema: astropy-2.0
wav flux_nu
4000.0559999999996 nan
4050.0559999999996 2.1592313906182804e-14
4100.056 2.7372414096700586e-12
4150.056 2.1497096587900223e-11
4200.056 1.9444088112920753e-11
4250.056 9.795692098900066e-11
4300.056 1.6547585245100187e-10
4350.056 2.1803600039000043e-10
4400.056 2.816720845000009e-10
4450.056 3.6526550177000323e-10
4500.056 4.0280731395000227e-10
4550.056 3.894924226529971e-10
4600.056 1.209516983919995e-10
4650.056 6.700760713599991e-11
4700.056 3.06270339039997e-11
4750.056 8.301055227299884e-12
4800.056 1.9003807255399757e-12
4850.056 5.337093035999947e-13
4900.056 2.656250165599986e-13
4950.056 1.6415747067999918e-13
5000.056 9.700168690399945e-14
5050.056 6.539756677399994e-14
5100.056 6.409724292100001e-14
5150.056 6.556168486500004e-14
5200.056 6.7170354322e-14
5250.056 6.817018274900001e-14
5300.056 6.909194439400001e-14
5350.056 7.046063028100001e-14
5400.056 7.215975338000002e-14
5450.056 7.375223281200004e-14
5500.056 7.507082606900005e-14
5550.056 7.596961313000001e-14
5600.056 7.610659535399995e-14
5650.056 7.494366844099992e-14
5700.056 7.198549298299996e-14
5750.056 6.61030578349999e-14
5800.056 5.6451206455999846e-14
5850.056 3.96029420309996e-14
5900.056 1.3756232711906204e-14
5950.056 7.51548249220014e-14
6000.056 1.5514542529400042e-13
6050.056 2.7807125118000294e-13
6100.056 4.585887703000033e-13
6150.056 7.189537913300045e-13
6200.056 1.0893996013400057e-12
6250.056 1.6051067757000088e-12
6300.056 2.3158841032000116e-12
6350.056 3.2845837235000173e-12
6400.056 4.592079661900024e-12
6450.056 6.340367752400015e-12
6500.056 8.620587844900031e-12
6550.056 1.1576211340200054e-11
6600.056 1.5387261695000104e-11
6650.056 2.0234722983000085e-11
6700.056 2.4879486863100268e-11
6750.056 3.30888628840001e-11
6800.056 3.990274381500009e-11
6850.056 4.3373874814000014e-11
6900.056 4.152240510800004e-11
6950.056 3.8129917304999934e-11
7000.056 3.797815249200012e-11
7050.056 4.095664453599985e-11
7100.056 4.4530463475000004e-11
7150.056 4.625254380099968e-11
7200.056 4.63932705110006e-11
7250.056 4.543737205299883e-11
7300.056 4.26081465070006e-11
7350.056 3.9795411032999764e-11
7400.056 3.673329375600028e-11
7450.056 3.329423010800021e-11
7500.056 2.9473213254999914e-11
7550.056 2.5276589222999894e-11
7600.056 2.116502972499989e-11
7650.056 8.010408389419762e-12
7700.056 6.8471212245001865e-12
7750.056 2.0617676541000288e-11
7800.056 3.2807770599600226e-11
7850.056 5.620815665700045e-11
7900.056 8.202301893400033e-11
7950.056 9.804745328400092e-11
8000.056 1.6066843594000128e-10
8050.056 2.1540386727000177e-10
8100.056 2.7519065264999883e-10
8150.056 3.4278162847900035e-10
8200.056 4.500383578600103e-10
8250.056 5.493867894680028e-10
8300.056 6.813941016200314e-10
8350.056 8.271857823899937e-10
8400.056 1.0027598316199917e-09
8450.056 1.2269032826999983e-09
8500.056 1.3619803348199619e-09
8550.056 1.7226709132800411e-09
8600.056 2.1118691937000153e-09
8650.056 2.4964887029000195e-09
8700.056 2.911383930500022e-09
8750.056 3.3987735776000203e-09
8800.056 3.913259633500029e-09
8850.056 4.342315482000004e-09
8900.056 4.12731352209991e-09
8950.056 3.961031405919951e-09
9000.056 4.871210543099796e-09
9050.056 6.774118658390078e-09
9100.056 7.655831777460177e-09
9150.056 8.392029441900253e-09
9200.056 9.786166113459677e-09
9250.056 9.951791519389483e-09
9300.056 4.592072912724706e-09
9350.056 6.1379617590953905e-09
9400.056 1.0023214214809035e-08
9450.056 1.0239287770200468e-08
9500.056 1.0052100014771505e-08
9550.056 1.1052772834114384e-08
9600.056 1.1692290987783035e-08
9650.056 1.401047801040802e-08
9700.056 1.846487905241172e-08
9750.056 2.0042554808149777e-08
9800.056 2.2992598027068904e-08
9850.056 2.646483604969968e-08
9900.056 3.163172624610028e-08
9950.056 3.45457013720003e-08
10000.056 3.5309456032699636e-08
10050.056 4.4250796812000265e-08
10100.056 5.0155560921000246e-08
10150.056 5.584364123599988e-08
10200.056 6.167287047500078e-08
10250.056 6.897754124200063e-08
10300.056 7.808828648499889e-08
10350.056 8.483775077600096e-08
10400.056 9.399054609700025e-08
10450.056 1.0191925540399848e-07
10500.056 1.0991277411799986e-07
10550.056 1.184479890500002e-07
10600.056 1.2508665580999977e-07
10650.056 1.323014987400013e-07
10700.056 1.3714423107200118e-07
10750.056 1.4332997426500118e-07
10800.056 1.4714261042400127e-07
10850.056 1.4626965581600067e-07
10900.056 1.2557469547199817e-07
10950.056 8.265978767099995e-08
11000.056 6.135190569359345e-08
11050.056 4.168041964181268e-08
11100.056 2.8684154882185367e-08
11150.056 1.9174393436953685e-08
11200.056 2.116366926003733e-08
11250.056 2.815694831817152e-08
11300.056 2.9264085565587077e-08
11350.056 1.3736036466598562e-08
11400.056 3.2661277599146945e-08
11450.056 2.3860076043184785e-08
11500.056 2.5122650320367554e-08
11550.056 1.3999393490044435e-08
11600.056 1.3677827761974692e-08
11650.056 2.088902970270769e-08
11700.056 2.2189849341172894e-08
11750.056 1.3187282148038277e-08
11800.056 3.028827269634163e-08
11850.056 4.634964918356896e-08
11900.056 5.7929074109696576e-08
11950.056 8.060806385490569e-08
12000.056 1.0228986629100028e-07
12050.056 1.2903103857300677e-07
12100.056 1.5652383976299606e-07
12150.056 1.893583765089962e-07
12200.056 2.1932378715599515e-07
12250.056 2.5391029554999595e-07
12300.056 2.931565592800059e-07
12350.056 3.0566399769999977e-07
12400.056 3.332868905799952e-07
12450.056 3.4387130587000495e-07
12500.056 3.5586667227000427e-07
12550.056 3.928061560100054e-07
12600.056 4.5755560560000375e-07
12650.056 4.6364964641000136e-07
12700.056 4.64105142650007e-07
12750.056 4.321552396500054e-07
12800.056 4.165425836199994e-07
12850.056 3.407137450520001e-07
12900.056 2.977744087570044e-07
12950.056 2.7410365699600103e-07
13000.056 2.685937132040057e-07
13050.056 2.3036627591039567e-07
13100.056 2.1920664111032742e-07
13150.056 1.7147306530847163e-07
13200.056 1.530150073933979e-07
13250.056 1.0720196856061209e-07
13300.056 5.371725078965521e-08
13350.056 1.7104070280719505e-08
13400.056 7.04639502967867e-09
13450.056 3.892757405726643e-09
13500.056 2.223661088773618e-09
13550.056 1.3989068508639812e-09
13600.056 8.449423640282081e-10
13650.056 2.4043091025616113e-09
13700.056 1.7083630993345916e-09
13750.056 2.7634358969852493e-09
13800.056 3.3823510317933208e-09
13850.056 2.1831968610723753e-09
13900.056 2.2595588088318476e-09
13950.056 2.230095590220075e-09
14000.056 2.2426650329943844e-09
14050.056 2.933518238881052e-09
14100.056 2.3332039744051486e-09
14150.056 3.5131579675875358e-09
14200.056 2.6522457948698955e-09
14250.056 2.852849605398724e-09
14300.056 5.6352387178286775e-09
14350.056 5.3907971369203405e-09
14400.056 5.611643172779507e-09
14450.056 7.343846047435892e-09
14500.056 1.3055840650248367e-08
14550.056 1.3719871526572744e-08
14600.056 2.067304383640699e-08
14650.056 1.91508935084734e-08
14700.056 1.3856755028321628e-08
14750.056 1.7703502186705935e-08
14800.056 2.2827589790751316e-08
14850.056 2.4225042328289923e-08
14900.056 2.537800010703998e-08
14950.056 3.048966520778932e-08
15000.056 3.823753618197363e-08
15050.056 4.4059436557932375e-08
15100.056 4.7740412189359306e-08
15150.056 5.262992576704708e-08
15200.056 5.810405949898543e-08
15250.056 8.106055435460342e-08
15300.056 9.181791412429133e-08
15350.056 1.1252435614239784e-07
15400.056 1.2983001831301616e-07
15450.056 1.479688312688113e-07
15500.056 1.600581156129923e-07
15550.056 1.8844273605400426e-07
15600.056 2.0864094692699769e-07
15650.056 2.2325372066200692e-07
15700.056 2.55035311120005e-07
15750.056 2.6946475436000157e-07
15800.056 2.733100543200001e-07
15850.056 2.8726438349000174e-07
15900.056 2.6872256427000146e-07
15950.056 2.498328401399919e-07
16000.056 2.0872487764000236e-07
16050.056 1.4982926309599513e-07
16100.056 1.1011330224199456e-07
