# %ECSV 1.0
# ---
# datatype:
# - {name: wav, unit: Angstrom, datatype: float64}
# - {name: flux_nu, unit: erg / (cm2 Hz s), datatype: float64}
# meta: {C/O: '1.00', Kzz: '1.0000E+05', Teff: '1500.', Y: '0.28', '[Fe/H]': '0.00', f_hole: '1.00', f_rain: '0.00', grav: '32.'}
# schema: astropy-2.0
wav flux_nu
4000.0559999999996 nan
4050.0559999999996 1.4843758380091446e-10
4100.056 3.3357963412548514e-10
4150.056 2.985023217730444e-10
4200.056 2.3644546920072756e-10
4250.056 2.5770602568810974e-10
4300.056 2.209722246420506e-10
4350.056 2.4409785546900574e-10
4400.056 2.852247631660613e-10
4450.056 2.3145739550600646e-10
4500.056 2.4796564393801555e-10
4550.056 3.1614233146623936e-10
4600.056 3.1569671565301246e-10
4650.056 2.921785224539671e-10
4700.056 3.524059098340628e-10
4750.056 3.9500355224196063e-10
4800.056 2.8550928405801416e-10
4850.056 3.071461932510074e-10
4900.056 3.777128853070001e-10
4950.056 3.5555021407300847e-10
5000.056 1.790619697569833e-10
5050.056 1.1255682462301059e-10
5100.056 1.0973370699201298e-10
5150.056 9.705682074402294e-11
5200.056 8.861120863499606e-11
5250.056 7.938656547100522e-11
5300.056 6.957578488200143e-11
5350.056 6.018137999500281e-11
5400.056 4.9645843298999867e-11
5450.056 3.703687132899966e-11
5500.056 2.5983801890999588e-11
5550.056 1.9695310183999497e-11
5600.056 1.410197975099998e-11
5650.056 9.478757311099933e-12
5700.056 5.97852875039996e-12
5750.056 3.465495716599972e-12
5800.056 1.7680337282999805e-12
5850.056 6.939347889899869e-13
5900.056 1.3001231684471913e-13
5950.056 1.6173590235000345e-12
6000.056 6.173896032000102e-12
6050.056 1.864024759200026e-11
6100.056 4.664351969600089e-11
6150.056 1.0423242042500094e-10
6200.056 2.0691557621000182e-10
6250.056 3.775957892100057e-10
6300.056 6.502061661700076e-10
6350.056 1.0350699354900088e-09
6400.056 1.5556543288000001e-09
6450.056 2.255802017699935e-09
6500.056 2.849150807899879e-09
6550.056 3.73997897989977e-09
6600.056 4.637477006600154e-09
6650.056 5.361303405600318e-09
6700.056 3.6930347460067507e-09
6750.056 7.104399515700239e-09
6800.056 8.826408187000233e-09
6850.056 1.0332741191699973e-08
6900.056 1.0371461672200173e-08
6950.056 9.969963847999429e-09
7000.056 1.0357362326899594e-08
7050.056 1.0653274699200184e-08
7100.056 1.0116131455099713e-08
7150.056 1.0246369136700046e-08
7200.056 1.2082628562300023e-08
7250.056 1.3950502583200295e-08
7300.056 1.5247185941100827e-08
7350.056 1.3778784386000414e-08
7400.056 1.0697302012800124e-08
7450.056 8.517193122699252e-09
7500.056 7.19258274749982e-09
7550.056 5.72384409720001e-09
7600.056 3.40922372529993e-09
7650.056 3.855746964475461e-10
7700.056 1.2752065202061492e-10
7750.056 2.0645458298700624e-09
7800.056 5.500470838337787e-09
7850.056 1.213683232120023e-08
7900.056 1.6152157598901456e-08
7950.056 1.6377880479188268e-08
8000.056 2.4334989177999423e-08
8050.056 3.494446930499705e-08
8100.056 4.979756418700162e-08
8150.056 6.965888088300424e-08
8200.056 7.344494556659946e-08
8250.056 9.293430201740351e-08
8300.056 9.880834516301262e-08
8350.056 1.1272979784000252e-07
8400.056 1.235479396049988e-07
8450.056 1.0739061250099055e-07
8500.056 1.0376600343847236e-07
8550.056 1.199974993520079e-07
8600.056 1.2522021811697276e-07
8650.056 1.2190792528796648e-07
8700.056 1.2018155559101953e-07
8750.056 1.3885390836700327e-07
8800.056 1.801047258290193e-07
8850.056 1.9838791112498266e-07
8900.056 1.8622741505099846e-07
8950.056 1.8613675589848613e-07
9000.056 2.410230756690139e-07
9050.056 2.5499144944999303e-07
9100.056 3.0523870086500624e-07
9150.056 3.3428343358101236e-07
9200.056 3.4393831498899315e-07
9250.056 2.743904748660662e-07
9300.056 2.0011423237892766e-07
9350.056 2.217519679679419e-07
9400.056 2.5236533849367024e-07
9450.056 2.896974645556925e-07
